,4s,6s,BF,Ground,Inns,Mins,Opposition,Player,Runs,SR,Year
,3,0,34,Mohali,2,55,v New Zealand,MK Pandey (INDIA),28*,82.35,2016
,3,0,28,Delhi,2,57,v Netherlands,G Gambhir (INDIA),28,100.00,2011
,3,0,35,Mohali,1,55,v Australia,R Ashwin (INDIA),28,80.00,2013
,3,0,49,Delhi,2,75,v New Zealand,AM Rahane (INDIA),28,57.14,2016
,6,0,22,Delhi,2,45,v Netherlands,SR Tendulkar (INDIA),27,122.72,2011
,2,0,32,Mohali,1,55,v Pakistan,G Gambhir (INDIA),27,84.37,2011
,1,2,22,Hyderabad (Deccan),1,32,v England,RA Jadeja (INDIA),27,122.72,2011
,0,2,39,Delhi,1,71,v Pakistan,RA Jadeja (INDIA),27,69.23,2013
,2,0,24,Mohali,2,38,v England,RA Jadeja (INDIA),26*,108.33,2011
,2,0,46,Mohali,2,58,v Australia,MS Dhoni (INDIA),26,56.52,2009
,3,0,33,Mohali,2,44,v England,V Kohli (INDIA),26,78.78,2013
,2,0,23,Nagpur,2,35,v Australia,MS Dhoni (INDIA),25*,108.69,2013
,2,1,26,Ranchi,2,29,v New Zealand,DS Kulkarni (INDIA),25*,96.15,2016
,2,0,42,Mohali,1,64,v Pakistan,MS Dhoni (INDIA),25,59.52,2011
,4,0,37,Nagpur,2,77,v New Zealand,MJ Clarke (AUS),24*,64.86,2011
,2,1,16,Mohali,2,19,v India,BJ Haddin (AUS),24,150.00,2013
,2,1,24,Nagpur,1,24,v Australia,Yuvraj Singh (INDIA),23,95.83,2009
,3,0,42,Nagpur,2,55,v India,CL White (AUS),23,54.76,2009
,3,0,17,Hyderabad (Deccan),2,24,v Australia,RA Jadeja (INDIA),23,135.29,2009
,4,0,23,Delhi,1,40,v Pakistan,Yuvraj Singh (INDIA),23,100.00,2013
,3,0,28,Nagpur,2,39,v New Zealand,CL White (AUS),22*,78.57,2011
,4,0,40,Mohali,2,50,v India,PJ Hughes (AUS),22,55.00,2013
,2,0,27,Mohali,2,31,v England,RA Jadeja (INDIA),21*,77.77,2013
,1,1,21,Nagpur,2,25,v India,SE Marsh (AUS),21,100.00,2009
,2,1,19,Nagpur,2,26,v India,MG Johnson (AUS),21,110.52,2009
,3,0,28,Nagpur,1,47,v India,AJ Finch (AUS),20,71.42,2013
,3,0,24,Ranchi,2,28,v Sri Lanka,KM Jadhav (INDIA),20,83.33,2014
,0,1,18,Nagpur,1,29,v India,MS Wade (AUS),20,111.11,2017
,2,0,40,Delhi,2,56,v Netherlands,MS Dhoni (INDIA),19*,47.50,2011
,3,0,26,Nagpur,2,41,v India,SR Watson (AUS),19,73.07,2009
,2,0,21,Mohali,2,49,v England,MS Dhoni (INDIA),19,90.47,2013
,2,0,21,Ranchi,2,21,v Sri Lanka,RV Uthappa (INDIA),19,90.47,2014
,0,1,25,Delhi,2,34,v New Zealand,MK Pandey (INDIA),19,76.00,2016
,0,1,23,Hyderabad (Deccan),2,-,v Sri Lanka,SK Raina (INDIA),18*,78.26,2014
,1,0,23,Delhi,2,45,v New Zealand,UT Yadav (INDIA),18*,78.26,2016
,1,0,14,Delhi,1,20,v West Indies,B Kumar (INDIA),18,128.57,2014
,2,0,14,Ranchi,2,34,v Sri Lanka,AR Patel (INDIA),17*,121.42,2014
,1,0,31,Delhi,1,36,v India,AC Voges (AUS),17,54.83,2009
,0,0,30,Mohali,2,46,v Australia,SK Raina (INDIA),17,56.66,2009
,2,0,19,Mohali,1,27,v Australia,SK Raina (INDIA),17,89.47,2013
,0,1,22,Delhi,2,47,v New Zealand,AR Patel (INDIA),17,77.27,2016
,2,0,12,Nagpur,2,17,v India,BW Hilfenhaus (AUS),16,133.33,2009
,3,0,19,Mohali,2,29,v Australia,P Kumar (INDIA),16,84.21,2009
,2,0,15,Nagpur,2,34,v Australia,SK Raina (INDIA),16,106.66,2013
,1,0,25,Nagpur,1,31,v India,SPD Smith (AUS),16,64.00,2017
,0,0,41,Hyderabad (Deccan),1,59,v England,AM Rahane (INDIA),15,36.58,2011
,1,0,27,Delhi,1,43,v Pakistan,G Gambhir (INDIA),15,55.55,2013
,1,1,27,Delhi,2,28,v New Zealand,RG Sharma (INDIA),15,55.55,2016
,1,1,15,Delhi,2,34,v England,AM Rahane (INDIA),14,93.33,2011
,1,0,17,Ranchi,2,29,v New Zealand,A Mishra (INDIA),14,82.35,2016
