,4s,6s,BF,Ground,Inns,Mins,Opposition,Player,Runs,SR,Year
,-,-,-,Colombo (RPS),2,-,v Sri Lanka,JJ Bumrah (INDIA),DNB,-,2017
,-,-,-,Colombo (RPS),2,-,v Sri Lanka,SN Thakur (INDIA),DNB,-,2017
,-,-,-,Colombo (RPS),2,-,v Sri Lanka,B Kumar (INDIA),DNB,-,2017
,-,-,-,Colombo (RPS),2,-,v Sri Lanka,Kuldeep Yadav (INDIA),DNB,-,2017
,-,-,-,Colombo (RPS),2,-,v Sri Lanka,YS Chahal (INDIA),DNB,-,2017
,-,-,-,Chennai,1,-,v Australia,YS Chahal (INDIA),DNB,-,2017
,-,-,-,Chennai,1,-,v Australia,JJ Bumrah (INDIA),DNB,-,2017
,-,-,-,Indore,1,-,v India,PJ Cummins (AUS),DNB,-,2017
,-,-,-,Indore,1,-,v India,KW Richardson (AUS),DNB,-,2017
,-,-,-,Indore,1,-,v India,NM Coulter-Nile (AUS),DNB,-,2017
,-,-,-,Indore,2,-,v Australia,JJ Bumrah (INDIA),DNB,-,2017
,-,-,-,Indore,2,-,v Australia,Kuldeep Yadav (INDIA),DNB,-,2017
,-,-,-,Indore,2,-,v Australia,B Kumar (INDIA),DNB,-,2017
,-,-,-,Indore,2,-,v Australia,YS Chahal (INDIA),DNB,-,2017
,-,-,-,Bengaluru,1,-,v India,A Zampa (AUS),DNB,-,2017
,-,-,-,Bengaluru,1,-,v India,PJ Cummins (AUS),DNB,-,2017
,-,-,-,Bengaluru,1,-,v India,KW Richardson (AUS),DNB,-,2017
,-,-,-,Bengaluru,1,-,v India,NM Coulter-Nile (AUS),DNB,-,2017
,-,-,-,Bengaluru,2,-,v Australia,YS Chahal (INDIA),DNB,-,2017
,-,-,-,Nagpur,1,-,v India,A Zampa (AUS),DNB,-,2017
,-,-,-,Nagpur,2,-,v Australia,Kuldeep Yadav (INDIA),DNB,-,2017
,-,-,-,Nagpur,2,-,v Australia,MS Dhoni (INDIA),DNB,-,2017
,-,-,-,Nagpur,2,-,v Australia,AR Patel (INDIA),DNB,-,2017
,-,-,-,Nagpur,2,-,v Australia,HH Pandya (INDIA),DNB,-,2017
,-,-,-,Nagpur,2,-,v Australia,B Kumar (INDIA),DNB,-,2017
,-,-,-,Nagpur,2,-,v Australia,JJ Bumrah (INDIA),DNB,-,2017
,-,-,-,Mumbai,1,-,v New Zealand,YS Chahal (INDIA),DNB,-,2017
,-,-,-,Mumbai,1,-,v New Zealand,JJ Bumrah (INDIA),DNB,-,2017
,-,-,-,Pune,2,-,v New Zealand,YS Chahal (INDIA),DNB,-,2017
,-,-,-,Pune,2,-,v New Zealand,KM Jadhav (INDIA),DNB,-,2017
,-,-,-,Pune,2,-,v New Zealand,JJ Bumrah (INDIA),DNB,-,2017
,-,-,-,Pune,2,-,v New Zealand,AR Patel (INDIA),DNB,-,2017
,-,-,-,Pune,2,-,v New Zealand,B Kumar (INDIA),DNB,-,2017
,-,-,-,Kanpur,1,-,v New Zealand,YS Chahal (INDIA),DNB,-,2017
,-,-,-,Kanpur,1,-,v New Zealand,JJ Bumrah (INDIA),DNB,-,2017
,-,-,-,Kanpur,1,-,v New Zealand,AR Patel (INDIA),DNB,-,2017
,-,-,-,Kanpur,1,-,v New Zealand,B Kumar (INDIA),DNB,-,2017
,-,-,-,Mohali,1,-,v Sri Lanka,KD Karthik (INDIA),DNB,-,2017
,-,-,-,Mohali,1,-,v Sri Lanka,JJ Bumrah (INDIA),DNB,-,2017
,-,-,-,Mohali,1,-,v Sri Lanka,YS Chahal (INDIA),DNB,-,2017
,-,-,-,Mohali,1,-,v Sri Lanka,MK Pandey (INDIA),DNB,-,2017
,-,-,-,Mohali,1,-,v Sri Lanka,B Kumar (INDIA),DNB,-,2017
,-,-,-,Mohali,1,-,v Sri Lanka,Washington Sundar (INDIA),DNB,-,2017
,-,-,-,Visakhapatnam,2,-,v Sri Lanka,YS Chahal (INDIA),DNB,-,2017
,-,-,-,Visakhapatnam,2,-,v Sri Lanka,MK Pandey (INDIA),DNB,-,2017
,-,-,-,Visakhapatnam,2,-,v Sri Lanka,JJ Bumrah (INDIA),DNB,-,2017
,-,-,-,Visakhapatnam,2,-,v Sri Lanka,MS Dhoni (INDIA),DNB,-,2017
,-,-,-,Visakhapatnam,2,-,v Sri Lanka,Kuldeep Yadav (INDIA),DNB,-,2017
,-,-,-,Visakhapatnam,2,-,v Sri Lanka,B Kumar (INDIA),DNB,-,2017
,-,-,-,Visakhapatnam,2,-,v Sri Lanka,HH Pandya (INDIA),DNB,-,2017
