,4s,6s,BF,Ground,Inns,Mins,Opposition,Player,Runs,SR,Year
,4,1,37,Nottingham,2,-,v England,MP Stoinis (AUS),44,118.91,2018
,5,1,40,Manchester,1,-,v England,AT Carey (AUS),44,110.00,2018
,7,0,49,Leeds,1,75,v England,S Dhawan (INDIA),44,89.79,2018
,4,0,66,Dubai (DSC),2,-,v Afghanistan,KD Karthik (INDIA),44,66.66,2018
,3,2,44,Adelaide,1,-,v South Africa,CA Lynn (AUS),44,100.00,2018
,3,1,30,Bengaluru,1,54,v India,PSP Handscomb (AUS),43,143.33,2017
,2,2,52,Adelaide,2,71,v Australia,RG Sharma (INDIA),43,82.69,2019
,5,0,45,Mount Maunganui,1,59,v New Zealand,V Kohli (INDIA),43,95.55,2019
,3,1,43,Johannesburg,1,66,v South Africa,MS Dhoni (INDIA),42*,97.67,2018
,4,1,44,Indore,1,59,v India,DA Warner (AUS),42,95.45,2017
,4,0,59,Nagpur,1,78,v India,TM Head (AUS),42,71.18,2017
,4,0,66,Leeds,1,90,v England,MS Dhoni (INDIA),42,63.63,2018
,1,1,41,Hobart,2,-,v South Africa,AT Carey (AUS),42,102.43,2018
,1,3,40,Bengaluru,2,64,v Australia,HH Pandya (INDIA),41,102.50,2017
,4,0,63,Adelaide,1,-,v South Africa,AJ Finch (AUS),41,65.07,2018
,4,1,26,North Sound,1,-,v West Indies,KM Jadhav (INDIA),40*,153.84,2017
,5,1,42,Mount Maunganui,2,63,v New Zealand,AT Rayudu (INDIA),40*,95.23,2019
,5,0,54,Chennai,1,72,v Australia,KM Jadhav (INDIA),40,74.07,2017
,4,0,62,The Oval,1,80,v England,AC Agar (AUS),40,64.51,2018
,8,0,27,Nottingham,2,-,v England,S Dhawan (INDIA),40,148.14,2018
,4,1,47,Dubai (DSC),2,-,v Bangladesh,S Dhawan (INDIA),40,85.10,2018
,4,0,55,North Sound,1,-,v West Indies,Yuvraj Singh (INDIA),39,70.90,2017
,5,0,51,Kingston,2,-,v West Indies,AM Rahane (INDIA),39,76.47,2017
,3,4,18,Chennai,2,25,v India,GJ Maxwell (AUS),39,216.66,2017
,5,0,39,Kolkata,2,57,v India,TM Head (AUS),39,100.00,2017
,2,0,55,Nagpur,2,73,v Australia,V Kohli (INDIA),39,70.90,2017
,3,0,54,Melbourne,1,-,v India,SE Marsh (AUS),39,72.22,2019
,5,1,38,Mount Maunganui,2,52,v New Zealand,KD Karthik (INDIA),38*,100.00,2019
,4,2,40,Mumbai (BS),1,-,v West Indies,S Dhawan (INDIA),38,95.00,2018
,4,0,47,Mumbai,1,58,v New Zealand,KD Karthik (INDIA),37,78.72,2017
,2,0,59,Lord's,2,-,v England,MS Dhoni (INDIA),37,62.71,2018
,1,1,61,Dubai (DSC),2,-,v Bangladesh,KD Karthik (INDIA),37,60.65,2018
,6,0,32,Indore,2,44,v Australia,MK Pandey (INDIA),36*,112.50,2017
,2,0,53,Colombo (RPS),2,-,v Sri Lanka,MK Pandey (INDIA),36,67.92,2017
,3,0,43,Brisbane,1,-,v England,MR Marsh (AUS),36,83.72,2018
,2,0,54,Port Elizabeth,1,76,v South Africa,V Kohli (INDIA),36,66.66,2018
,6,0,30,Lord's,2,-,v England,S Dhawan (INDIA),36,120.00,2018
,3,0,67,Dubai (DSC),2,-,v Bangladesh,MS Dhoni (INDIA),36,53.73,2018
,5,0,40,Brisbane,1,-,v England,DA Warner (AUS),35,87.50,2018
,6,0,29,Durban,2,53,v South Africa,S Dhawan (INDIA),35,120.68,2018
,5,0,45,Pune,2,-,v West Indies,S Dhawan (INDIA),35,77.77,2018
,3,0,27,Hobart,2,-,v South Africa,GJ Maxwell (AUS),35,129.62,2018
,3,0,50,Centurion,2,81,v South Africa,AM Rahane (INDIA),34*,68.00,2018
,3,1,39,Perth,2,-,v England,GJ Maxwell (AUS),34,87.17,2018
,2,1,44,Perth,2,-,v England,TD Paine (AUS),34,77.27,2018
,8,0,23,Port Elizabeth,1,30,v South Africa,S Dhawan (INDIA),34,147.82,2018
,5,1,31,Perth,1,-,v South Africa,NM Coulter-Nile (AUS),34,109.67,2018
,2,0,51,Melbourne,1,-,v India,UT Khawaja (AUS),34,66.66,2019
,3,0,45,Wellington,1,55,v New Zealand,KM Jadhav (INDIA),34,75.55,2019
,6,0,29,Thiruvananthapuram,2,57,v West Indies,V Kohli (INDIA),33*,113.79,2018
