,Econ,Ground,Inns,Mdns,Opposition,Overs,Player,Runs,Wkts,Year
,3.40,Dubai (DSC),1,0,v Bangladesh,10.0,Kuldeep Yadav (INDIA),34,0,2018
,3.40,Melbourne,2,0,v India,10.0,A Zampa (AUS),34,0,2019
,5.83,Dambulla,1,0,v Sri Lanka,6.0,HH Pandya (INDIA),35,0,2017
,4.37,Cape Town,2,0,v South Africa,8.0,HH Pandya (INDIA),35,0,2018
,5.83,Melbourne,1,0,v Australia,6.0,KM Jadhav (INDIA),35,0,2019
,6.00,Port of Spain,2,0,v West Indies,6.0,UT Yadav (INDIA),36,0,2017
,3.60,Kingston,1,0,v West Indies,10.0,Kuldeep Yadav (INDIA),36,0,2017
,6.34,Nagpur,2,0,v India,5.5,JP Faulkner (AUS),37,0,2017
,6.33,Bengaluru,2,0,v India,6.0,TM Head (AUS),38,0,2017
,6.33,Nagpur,2,0,v India,6.0,TM Head (AUS),38,0,2017
,5.42,Hobart,1,0,v South Africa,7.0,GJ Maxwell (AUS),38,0,2018
,5.57,Kolkata,2,1,v Australia,7.0,JJ Bumrah (INDIA),39,0,2017
,7.09,Leeds,2,0,v England,5.3,HH Pandya (INDIA),39,0,2018
,4.87,Mount Maunganui,1,0,v New Zealand,8.0,Kuldeep Yadav (INDIA),39,0,2019
,5.71,Kanpur,2,0,v New Zealand,7.0,AR Patel (INDIA),40,0,2017
,4.00,Dubai (DSC),1,0,v Bangladesh,10.0,YS Chahal (INDIA),40,0,2018
,4.55,Pallekele,1,2,v Sri Lanka,9.0,B Kumar (INDIA),41,0,2017
,5.85,Durban,1,0,v South Africa,7.0,HH Pandya (INDIA),41,0,2018
,5.85,Cape Town,2,0,v South Africa,7.0,B Kumar (INDIA),41,0,2018
,6.83,Chester-le-Street,2,0,v England,6.0,MP Stoinis (AUS),41,0,2018
,4.10,Leeds,2,0,v England,10.0,YS Chahal (INDIA),41,0,2018
,10.25,Dubai (DSC),2,0,v Hong Kong,4.0,SN Thakur (INDIA),41,0,2018
,5.12,Perth,2,2,v South Africa,8.0,JR Hazlewood (AUS),41,0,2018
,6.00,Adelaide,1,0,v England,7.0,A Zampa (AUS),42,0,2018
,4.30,Melbourne,2,0,v England,10.0,AJ Tye (AUS),43,0,2018
,6.14,Port Elizabeth,2,0,v South Africa,7.0,B Kumar (INDIA),43,0,2018
,4.40,Chennai,1,1,v India,10.0,PJ Cummins (AUS),44,0,2017
,5.11,Kolkata,1,0,v India,9.0,MP Stoinis (AUS),46,0,2017
,5.11,Dubai (DSC),1,0,v Pakistan,9.0,B Kumar (INDIA),46,0,2018
,4.60,Sydney,1,0,v Australia,10.0,Mohammed Shami (INDIA),46,0,2019
,9.40,Kanpur,2,0,v New Zealand,5.0,HH Pandya (INDIA),47,0,2017
,5.22,Brisbane,2,0,v England,9.0,AJ Tye (AUS),47,0,2018
,6.71,Nottingham,1,0,v England,7.0,HH Pandya (INDIA),47,0,2018
,5.87,Perth,2,0,v South Africa,8.0,MA Starc (AUS),47,0,2018
,4.80,North Sound,1,0,v West Indies,10.0,RA Jadeja (INDIA),48,0,2017
,8.00,Colombo (RPS),1,0,v Sri Lanka,6.0,SN Thakur (INDIA),48,0,2017
,4.80,Nagpur,1,1,v Australia,10.0,Kuldeep Yadav (INDIA),48,0,2017
,4.90,Pallekele,1,0,v Sri Lanka,10.0,YS Chahal (INDIA),49,0,2017
,7.00,Leeds,2,0,v England,7.0,B Kumar (INDIA),49,0,2018
,4.90,Visakhapatnam,2,0,v West Indies,10.0,RA Jadeja (INDIA),49,0,2018
,4.90,Melbourne,2,0,v India,10.0,B Stanlake (AUS),49,0,2019
,5.55,Dubai (DSC),2,0,v Hong Kong,9.0,B Kumar (INDIA),50,0,2018
,5.55,Dubai (DSC),1,0,v Pakistan,9.0,RA Jadeja (INDIA),50,0,2018
,5.00,Sydney,2,1,v India,10.0,NM Lyon (AUS),50,0,2019
,7.28,The Oval,2,1,v Sri Lanka,7.0,HH Pandya (INDIA),51,0,2017
,5.10,Mumbai,2,0,v New Zealand,10.0,YS Chahal (INDIA),51,0,2017
,5.66,Perth,1,0,v England,9.0,JR Hazlewood (AUS),51,0,2018
,5.20,The Oval,2,0,v Sri Lanka,10.0,JJ Bumrah (INDIA),52,0,2017
,8.66,The Oval,2,0,v Sri Lanka,6.0,RA Jadeja (INDIA),52,0,2017
,6.24,Birmingham,2,0,v England,8.2,A Zampa (AUS),52,0,2017
