,4s,6s,BF,Ground,Inns,Mins,Opposition,Player,Runs,SR,Year
,3,1,25,Bengaluru,2,40,v Australia,MK Pandey (INDIA),33,132.00,2017
,3,0,38,Dubai (DSC),1,-,v Hong Kong,KD Karthik (INDIA),33,86.84,2018
,3,0,37,Dubai (DSC),2,-,v Bangladesh,MS Dhoni (INDIA),33,89.18,2018
,2,0,71,Perth,1,-,v South Africa,AT Carey (AUS),33,46.47,2018
,5,0,30,Chennai,1,45,v Australia,B Kumar (INDIA),32*,106.66,2017
,1,1,25,Chennai,2,41,v India,JP Faulkner (AUS),32*,128.00,2017
,6,0,36,Nagpur,1,46,v India,AJ Finch (AUS),32,88.88,2017
,3,1,30,Adelaide,2,-,v England,MR Marsh (AUS),32,106.66,2018
,5,0,28,Adelaide,2,31,v Australia,S Dhawan (INDIA),32,114.28,2019
,1,0,35,Sydney,2,-,v England,TD Paine (AUS),31*,88.57,2018
,3,0,46,Dubai (DSC),2,-,v Pakistan,AT Rayudu (INDIA),31*,67.39,2018
,2,1,37,Dubai (DSC),2,-,v Pakistan,KD Karthik (INDIA),31*,83.78,2018
,4,0,34,Cardiff,2,38,v England,GJ Maxwell (AUS),31,91.17,2018
,2,1,31,Pune,2,48,v New Zealand,HH Pandya (INDIA),30,96.77,2017
,2,0,37,Port Elizabeth,1,57,v South Africa,SS Iyer (INDIA),30,81.08,2018
,4,0,23,Sydney,2,28,v Australia,B Kumar (INDIA),29*,126.08,2019
,1,1,38,Bengaluru,1,55,v India,TM Head (AUS),29,76.31,2017
,3,1,29,Pune,2,40,v New Zealand,V Kohli (INDIA),29,100.00,2017
,4,1,30,Visakhapatnam,1,40,v West Indies,S Dhawan (INDIA),29,96.66,2018
,3,0,36,Adelaide,1,40,v India,MP Stoinis (AUS),29,80.55,2019
,0,1,27,Dubai (DSC),1,-,v Hong Kong,KM Jadhav (INDIA),28*,103.70,2018
,3,0,44,Chennai,1,81,v Australia,RG Sharma (INDIA),28,63.63,2017
,2,0,35,Indore,2,58,v Australia,V Kohli (INDIA),28,80.00,2017
,6,0,27,Mount Maunganui,2,32,v New Zealand,S Dhawan (INDIA),28,103.70,2019
,1,1,28,Indore,1,42,v India,MP Stoinis (AUS),27*,96.42,2017
,3,0,31,Melbourne,1,56,v England,TD Paine (AUS),27,87.09,2018
,4,0,24,Brisbane,1,-,v England,AT Carey (AUS),27,112.50,2018
,3,0,31,Visakhapatnam,2,42,v Sri Lanka,KD Karthik (INDIA),26*,83.87,2017
,2,2,15,Mumbai,1,20,v New Zealand,B Kumar (INDIA),26,173.33,2017
,5,0,19,Melbourne,1,-,v India,GJ Maxwell (AUS),26,136.84,2019
,3,1,13,The Oval,1,19,v Sri Lanka,KM Jadhav (INDIA),25*,192.30,2017
,2,0,31,Adelaide,2,-,v England,TD Paine (AUS),25*,80.64,2018
,2,0,14,Adelaide,2,33,v Australia,KD Karthik (INDIA),25*,178.57,2019
,2,0,28,Chennai,2,47,v India,DA Warner (AUS),25,89.28,2017
,2,0,42,Mumbai,1,54,v New Zealand,MS Dhoni (INDIA),25,59.52,2017
,3,0,17,Kanpur,1,29,v New Zealand,MS Dhoni (INDIA),25,147.05,2017
,2,1,23,Nottingham,2,-,v England,AC Agar (AUS),25,108.69,2018
,1,0,34,Dubai (DSC),2,-,v Afghanistan,RA Jadeja (INDIA),25,73.52,2018
,2,1,24,Kolkata,1,36,v Australia,KM Jadhav (INDIA),24,100.00,2017
,4,0,30,The Oval,1,39,v England,SE Marsh (AUS),24,80.00,2018
,0,1,30,Nottingham,2,-,v England,SE Marsh (AUS),24,80.00,2018
,3,1,18,Pune,2,-,v West Indies,RR Pant (INDIA),24,133.33,2018
,5,0,31,Sydney,1,43,v India,AT Carey (AUS),24,77.41,2019
,2,0,36,Adelaide,2,47,v Australia,AT Rayudu (INDIA),24,66.66,2019
,1,1,25,The Oval,2,29,v South Africa,Yuvraj Singh (INDIA),23*,92.00,2017
,1,1,27,Dubai (DSC),2,-,v Bangladesh,KM Jadhav (INDIA),23*,85.18,2018
,3,0,18,Melbourne,1,41,v England,SPD Smith (AUS),23,127.77,2018
,4,0,22,Dubai (DSC),1,-,v Hong Kong,RG Sharma (INDIA),23,104.54,2018
,1,0,33,Dubai (DSC),2,-,v Bangladesh,RA Jadeja (INDIA),23,69.69,2018
,2,0,15,Mumbai (BS),1,-,v West Indies,MS Dhoni (INDIA),23,153.33,2018
