,Econ,Ground,Inns,Mdns,Opposition,Overs,Player,Runs,Wkts,Year
,4.92,Port Elizabeth,2,0,v South Africa,6.3,A Zampa,32,1,2016
,3.40,Kolkata,1,1,v India,10.0,PJ Cummins,34,1,2017
,3.40,Manchester,2,2,v England,10.0,AC Agar,34,1,2018
,8.75,Southampton,2,1,v England,4.0,MR Marsh,35,1,2015
,5.00,Lord's,2,0,v England,7.0,MA Starc,35,1,2015
,3.60,Dambulla,1,1,v Sri Lanka,10.0,SM Boland,36,1,2016
,5.42,Chester-le-Street,2,0,v England,7.0,NM Lyon,38,1,2018
,3.90,Auckland,1,0,v New Zealand,10.0,JW Hastings,39,1,2016
,4.00,Bridgetown,1,3,v West Indies,10.0,JR Hazlewood,40,1,2016
,4.66,Nagpur,2,0,v India,9.0,NM Coulter-Nile,42,1,2017
,4.88,Manchester,1,1,v England,9.0,MA Starc,44,1,2015
,8.80,Centurion,2,0,v South Africa,5.0,A Zampa,44,1,2016
,5.00,Manchester,1,0,v England,9.0,AC Agar,45,1,2015
,4.50,Hamilton,1,0,v New Zealand,10.0,A Zampa,45,1,2016
,5.09,Indore,2,0,v India,8.5,KW Richardson,45,1,2017
,5.75,Bridgetown,2,0,v West Indies,8.0,NM Coulter-Nile,46,1,2016
,4.70,Hamilton,1,0,v New Zealand,10.0,PJ Cummins,47,1,2017
,5.33,Colombo (RPS),1,0,v Sri Lanka,9.0,MC Henriques,48,1,2016
,4.80,Auckland,1,0,v New Zealand,10.0,JR Hazlewood,48,1,2017
,5.44,Colombo (RPS),1,0,v Sri Lanka,9.0,NM Lyon,49,1,2016
,5.44,The Oval,2,1,v England,9.0,KW Richardson,49,1,2018
,6.25,Lord's,2,1,v England,8.0,NM Coulter-Nile,50,1,2015
,5.00,Bridgetown,2,0,v West Indies,10.0,A Zampa,50,1,2016
,5.66,Lord's,2,0,v England,9.0,MR Marsh,51,1,2015
,5.10,Dambulla,1,0,v Sri Lanka,10.0,JR Hazlewood,51,1,2016
,5.10,Dambulla,1,1,v Sri Lanka,10.0,MA Starc,51,1,2016
,5.20,Birmingham,2,0,v England,10.0,MA Starc,52,1,2017
,5.40,Leeds,2,0,v England,10.0,GJ Maxwell,54,1,2015
,6.00,Kolkata,1,0,v India,9.0,AC Agar,54,1,2017
,6.75,Chester-le-Street,2,0,v England,8.0,B Stanlake,54,1,2018
,7.50,Durban,2,1,v South Africa,7.2,A Zampa,55,1,2016
,5.80,Indore,2,0,v India,10.0,NM Coulter-Nile,58,1,2017
,5.90,Auckland,1,0,v New Zealand,10.0,MA Starc,59,1,2017
,5.90,Bengaluru,2,0,v India,10.0,PJ Cummins,59,1,2017
,6.00,Cardiff,1,0,v England,10.0,MP Stoinis,60,1,2018
,6.10,Durban,2,0,v South Africa,10.0,MR Marsh,61,1,2016
,7.00,Bengaluru,2,0,v India,9.0,A Zampa,63,1,2017
,6.50,Durban,2,0,v South Africa,10.0,CP Tremain,65,1,2016
,6.60,Chennai,1,0,v India,10.0,A Zampa,66,1,2017
,6.70,Chennai,1,1,v India,10.0,JP Faulkner,67,1,2017
,7.00,Nottingham,1,0,v England,10.0,AC Agar,70,1,2018
,7.10,Indore,2,0,v India,10.0,AC Agar,71,1,2017
,7.80,Johannesburg,1,0,v South Africa,10.0,CP Tremain,78,1,2016
,7.90,Manchester,1,0,v England,10.0,MA Starc,79,1,2015
,6.00,Bengaluru,2,0,v India,0.1,AJ Finch,1,0,2017
,2.00,Indore,2,0,v India,1.0,GJ Maxwell,2,0,2017
,6.00,Birmingham,2,0,v England,1.0,MC Henriques,6,0,2017
,3.50,Colombo (RPS),1,0,v Sri Lanka,2.0,AJ Finch,7,0,2016
,7.00,Nottingham,1,0,v England,1.0,AJ Finch,7,0,2018
,4.50,Birmingham,2,0,v England,2.0,TM Head,9,0,2017
