,4s,6s,BF,Ground,Inns,Mins,Opposition,Player,Runs,SR,Year
,-,-,-,The Oval,2,-,v South Africa,R Ashwin (INDIA),DNB,-,2017
,-,-,-,The Oval,2,-,v South Africa,HH Pandya (INDIA),DNB,-,2017
,-,-,-,The Oval,2,-,v South Africa,MS Dhoni (INDIA),DNB,-,2017
,-,-,-,The Oval,2,-,v South Africa,KM Jadhav (INDIA),DNB,-,2017
,-,-,-,The Oval,2,-,v South Africa,RA Jadeja (INDIA),DNB,-,2017
,-,-,-,The Oval,2,-,v South Africa,JJ Bumrah (INDIA),DNB,-,2017
,-,-,-,The Oval,2,-,v South Africa,B Kumar (INDIA),DNB,-,2017
,-,-,-,Birmingham,2,-,v Bangladesh,R Ashwin (INDIA),DNB,-,2017
,-,-,-,Birmingham,2,-,v Bangladesh,HH Pandya (INDIA),DNB,-,2017
,-,-,-,Birmingham,2,-,v Bangladesh,MS Dhoni (INDIA),DNB,-,2017
,-,-,-,Birmingham,2,-,v Bangladesh,KM Jadhav (INDIA),DNB,-,2017
,-,-,-,Birmingham,2,-,v Bangladesh,RA Jadeja (INDIA),DNB,-,2017
,-,-,-,Birmingham,2,-,v Bangladesh,JJ Bumrah (INDIA),DNB,-,2017
,-,-,-,Birmingham,2,-,v Bangladesh,Yuvraj Singh (INDIA),DNB,-,2017
,-,-,-,Birmingham,2,-,v Bangladesh,B Kumar (INDIA),DNB,-,2017
,-,-,-,Port of Spain,1,-,v West Indies,UT Yadav (INDIA),DNB,-,2017
,-,-,-,Port of Spain,1,-,v West Indies,R Ashwin (INDIA),DNB,-,2017
,-,-,-,Port of Spain,1,-,v West Indies,Kuldeep Yadav (INDIA),DNB,-,2017
,-,-,-,Port of Spain,1,-,v West Indies,B Kumar (INDIA),DNB,-,2017
,-,-,-,North Sound,1,-,v West Indies,HH Pandya (INDIA),DNB,-,2017
,-,-,-,North Sound,1,-,v West Indies,UT Yadav (INDIA),DNB,-,2017
,-,-,-,North Sound,1,-,v West Indies,R Ashwin (INDIA),DNB,-,2017
,-,-,-,North Sound,1,-,v West Indies,Kuldeep Yadav (INDIA),DNB,-,2017
,-,-,-,North Sound,1,-,v West Indies,B Kumar (INDIA),DNB,-,2017
,-,-,-,Kingston,2,-,v West Indies,Kuldeep Yadav (INDIA),DNB,-,2017
,-,-,-,Kingston,2,-,v West Indies,MS Dhoni (INDIA),DNB,-,2017
,-,-,-,Kingston,2,-,v West Indies,UT Yadav (INDIA),DNB,-,2017
,-,-,-,Kingston,2,-,v West Indies,RA Jadeja (INDIA),DNB,-,2017
,-,-,-,Kingston,2,-,v West Indies,HH Pandya (INDIA),DNB,-,2017
,-,-,-,Kingston,2,-,v West Indies,Mohammed Shami (INDIA),DNB,-,2017
,-,-,-,Kingston,2,-,v West Indies,KM Jadhav (INDIA),DNB,-,2017
,-,-,-,Dambulla,2,-,v Sri Lanka,HH Pandya (INDIA),DNB,-,2017
,-,-,-,Dambulla,2,-,v Sri Lanka,MS Dhoni (INDIA),DNB,-,2017
,-,-,-,Dambulla,2,-,v Sri Lanka,YS Chahal (INDIA),DNB,-,2017
,-,-,-,Dambulla,2,-,v Sri Lanka,B Kumar (INDIA),DNB,-,2017
,-,-,-,Dambulla,2,-,v Sri Lanka,JJ Bumrah (INDIA),DNB,-,2017
,-,-,-,Dambulla,2,-,v Sri Lanka,AR Patel (INDIA),DNB,-,2017
,-,-,-,Dambulla,2,-,v Sri Lanka,KL Rahul (INDIA),DNB,-,2017
,-,-,-,Dambulla,2,-,v Sri Lanka,KM Jadhav (INDIA),DNB,-,2017
,-,-,-,Pallekele,2,-,v Sri Lanka,YS Chahal (INDIA),DNB,-,2017
,-,-,-,Pallekele,2,-,v Sri Lanka,JJ Bumrah (INDIA),DNB,-,2017
,-,-,-,Pallekele,2,-,v Sri Lanka,HH Pandya (INDIA),DNB,-,2017
,-,-,-,Pallekele,2,-,v Sri Lanka,YS Chahal (INDIA),DNB,-,2017
,-,-,-,Pallekele,2,-,v Sri Lanka,B Kumar (INDIA),DNB,-,2017
,-,-,-,Pallekele,2,-,v Sri Lanka,JJ Bumrah (INDIA),DNB,-,2017
,-,-,-,Pallekele,2,-,v Sri Lanka,AR Patel (INDIA),DNB,-,2017
,-,-,-,Colombo (RPS),1,-,v Sri Lanka,AR Patel (INDIA),DNB,-,2017
,-,-,-,Colombo (RPS),1,-,v Sri Lanka,JJ Bumrah (INDIA),DNB,-,2017
,-,-,-,Colombo (RPS),1,-,v Sri Lanka,Kuldeep Yadav (INDIA),DNB,-,2017
,-,-,-,Colombo (RPS),1,-,v Sri Lanka,SN Thakur (INDIA),DNB,-,2017
