,4s,6s,BF,Ground,Inns,Mins,Opposition,Player,Runs,SR,Year
,-,-,-,Dubai (DSC),2,-,v Pakistan,KM Jadhav (INDIA),DNB,-,2018
,-,-,-,Dubai (DSC),2,-,v Pakistan,JJ Bumrah (INDIA),DNB,-,2018
,-,-,-,Dubai (DSC),2,-,v Pakistan,Kuldeep Yadav (INDIA),DNB,-,2018
,-,-,-,Dubai (DSC),2,-,v Bangladesh,Kuldeep Yadav (INDIA),DNB,-,2018
,-,-,-,Dubai (DSC),2,-,v Bangladesh,B Kumar (INDIA),DNB,-,2018
,-,-,-,Dubai (DSC),2,-,v Bangladesh,RA Jadeja (INDIA),DNB,-,2018
,-,-,-,Dubai (DSC),2,-,v Bangladesh,JJ Bumrah (INDIA),DNB,-,2018
,-,-,-,Dubai (DSC),2,-,v Bangladesh,YS Chahal (INDIA),DNB,-,2018
,-,-,-,Dubai (DSC),2,-,v Bangladesh,KM Jadhav (INDIA),DNB,-,2018
,-,-,-,Dubai (DSC),2,-,v Pakistan,Kuldeep Yadav (INDIA),DNB,-,2018
,-,-,-,Dubai (DSC),2,-,v Pakistan,MS Dhoni (INDIA),DNB,-,2018
,-,-,-,Dubai (DSC),2,-,v Pakistan,B Kumar (INDIA),DNB,-,2018
,-,-,-,Dubai (DSC),2,-,v Pakistan,RA Jadeja (INDIA),DNB,-,2018
,-,-,-,Dubai (DSC),2,-,v Pakistan,JJ Bumrah (INDIA),DNB,-,2018
,-,-,-,Dubai (DSC),2,-,v Pakistan,KD Karthik (INDIA),DNB,-,2018
,-,-,-,Dubai (DSC),2,-,v Pakistan,YS Chahal (INDIA),DNB,-,2018
,-,-,-,Dubai (DSC),2,-,v Pakistan,KM Jadhav (INDIA),DNB,-,2018
,-,-,-,Dubai (DSC),2,-,v Bangladesh,JJ Bumrah (INDIA),DNB,-,2018
,-,-,-,Dubai (DSC),2,-,v Bangladesh,YS Chahal (INDIA),DNB,-,2018
,-,-,-,Guwahati,2,-,v West Indies,Mohammed Shami (INDIA),DNB,-,2018
,-,-,-,Guwahati,2,-,v West Indies,UT Yadav (INDIA),DNB,-,2018
,-,-,-,Guwahati,2,-,v West Indies,RA Jadeja (INDIA),DNB,-,2018
,-,-,-,Guwahati,2,-,v West Indies,RR Pant (INDIA),DNB,-,2018
,-,-,-,Guwahati,2,-,v West Indies,MS Dhoni (INDIA),DNB,-,2018
,-,-,-,Guwahati,2,-,v West Indies,YS Chahal (INDIA),DNB,-,2018
,-,-,-,Guwahati,2,-,v West Indies,KK Ahmed (INDIA),DNB,-,2018
,-,-,-,Visakhapatnam,1,-,v West Indies,Kuldeep Yadav (INDIA),DNB,-,2018
,-,-,-,Visakhapatnam,1,-,v West Indies,YS Chahal (INDIA),DNB,-,2018
,-,-,-,Visakhapatnam,1,-,v West Indies,UT Yadav (INDIA),DNB,-,2018
,-,-,-,Mumbai (BS),1,-,v West Indies,B Kumar (INDIA),DNB,-,2018
,-,-,-,Mumbai (BS),1,-,v West Indies,KK Ahmed (INDIA),DNB,-,2018
,-,-,-,Mumbai (BS),1,-,v West Indies,Kuldeep Yadav (INDIA),DNB,-,2018
,-,-,-,Mumbai (BS),1,-,v West Indies,JJ Bumrah (INDIA),DNB,-,2018
,-,-,-,Thiruvananthapuram,2,-,v West Indies,KK Ahmed (INDIA),DNB,-,2018
,-,-,-,Thiruvananthapuram,2,-,v West Indies,AT Rayudu (INDIA),DNB,-,2018
,-,-,-,Thiruvananthapuram,2,-,v West Indies,Kuldeep Yadav (INDIA),DNB,-,2018
,-,-,-,Thiruvananthapuram,2,-,v West Indies,KM Jadhav (INDIA),DNB,-,2018
,-,-,-,Thiruvananthapuram,2,-,v West Indies,RA Jadeja (INDIA),DNB,-,2018
,-,-,-,Thiruvananthapuram,2,-,v West Indies,JJ Bumrah (INDIA),DNB,-,2018
,-,-,-,Thiruvananthapuram,2,-,v West Indies,MS Dhoni (INDIA),DNB,-,2018
,-,-,-,Thiruvananthapuram,2,-,v West Indies,B Kumar (INDIA),DNB,-,2018
,-,-,-,Sydney,1,-,v India,NM Lyon (AUS),DNB,-,2019
,-,-,-,Sydney,1,-,v India,PM Siddle (AUS),DNB,-,2019
,-,-,-,Sydney,1,-,v India,JP Behrendorff (AUS),DNB,-,2019
,-,-,-,Sydney,1,-,v India,JA Richardson (AUS),DNB,-,2019
,-,-,-,Sydney,2,-,v Australia,KK Ahmed (INDIA),DNB,-,2019
,-,-,-,Adelaide,2,-,v Australia,B Kumar (INDIA),DNB,-,2019
,-,-,-,Adelaide,2,-,v Australia,RA Jadeja (INDIA),DNB,-,2019
,-,-,-,Adelaide,2,-,v Australia,Mohammed Siraj (INDIA),DNB,-,2019
,-,-,-,Adelaide,2,-,v Australia,Mohammed Shami (INDIA),DNB,-,2019
