,4s,6s,BF,Ground,Inns,Mins,Opposition,Player,Runs,SR,Year
,0,0,11,Auckland,1,17,v New Zealand,SPD Smith,4,36.36,2015
,0,0,5,Leeds,1,5,v England,MP Stoinis,4,80.00,2015
,1,0,4,Bridgetown,1,4,v West Indies,GJ Maxwell,4,100.00,2016
,0,0,7,Colombo (RPS),2,16,v Sri Lanka,AJ Finch,4,57.14,2016
,0,0,16,Colombo (RPS),2,20,v Sri Lanka,MC Henriques,4,25.00,2016
,0,0,13,Dambulla,2,19,v Sri Lanka,JP Faulkner,4,30.76,2016
,1,0,3,Port Elizabeth,1,5,v South Africa,JW Hastings,4,133.33,2016
,0,0,4,Cape Town,2,9,v South Africa,SM Boland,4,100.00,2016
,0,0,7,Auckland,2,12,v New Zealand,AJ Finch,4,57.14,2017
,0,0,11,Auckland,2,27,v New Zealand,SD Heazlett,4,36.36,2017
,1,0,5,Hamilton,2,5,v New Zealand,JR Hazlewood,4,80.00,2017
,0,0,7,Birmingham,1,8,v England,PJ Cummins,4,57.14,2017
,0,0,6,Indore,1,18,v India,TM Head,4,66.66,2017
,0,0,3,Centurion,1,4,v South Africa,SM Boland,3*,100.00,2016
,0,0,3,Bengaluru,1,6,v India,MS Wade,3*,100.00,2017
,0,0,3,Chester-le-Street,1,-,v England,NM Lyon,3*,100.00,2018
,0,0,13,Pallekele,2,17,v Sri Lanka,MS Wade,3,23.07,2016
,0,0,3,Auckland,2,11,v New Zealand,MA Starc,3,100.00,2017
,0,0,10,Chennai,2,28,v India,MP Stoinis,3,30.00,2017
,0,0,7,Indore,1,13,v India,PSP Handscomb,3,42.85,2017
,0,0,5,Bengaluru,1,5,v India,SPD Smith,3,60.00,2017
,0,0,5,Chester-le-Street,1,-,v England,TD Paine,3,60.00,2018
,0,0,2,Belfast,1,6,v Ireland,MS Wade,2*,100.00,2015
,0,0,8,Manchester,2,19,v England,JL Pattinson,2*,25.00,2015
,0,0,2,Nagpur,1,7,v India,PJ Cummins,2*,100.00,2017
,0,0,6,Belfast,1,4,v Ireland,GJ Maxwell,2,33.33,2015
,0,0,7,Leeds,1,10,v England,JA Burns,2,28.57,2015
,0,0,10,Auckland,2,11,v New Zealand,GJ Bailey,2,20.00,2016
,0,0,12,Wellington,2,12,v New Zealand,SPD Smith,2,16.66,2016
,0,0,9,Wellington,2,11,v New Zealand,MS Wade,2,22.22,2016
,0,0,11,Hamilton,2,12,v New Zealand,A Zampa,2,18.18,2016
,0,0,12,Hamilton,2,11,v New Zealand,SM Boland,2,16.66,2016
,0,0,8,Durban,1,13,v South Africa,MR Marsh,2,25.00,2016
,0,0,3,Port Elizabeth,1,1,v South Africa,AJ Finch,2,66.66,2016
,0,0,8,Cape Town,2,11,v South Africa,GJ Bailey,2,25.00,2016
,0,0,3,Birmingham,1,5,v England,MS Wade,2,66.66,2017
,0,0,5,Chennai,2,9,v India,NM Coulter-Nile,2,40.00,2017
,0,0,8,Kolkata,2,16,v India,MS Wade,2,25.00,2017
,0,0,3,Cardiff,2,10,v England,JA Richardson,2,66.66,2018
,0,0,2,Chester-le-Street,1,-,v England,MG Neser,2,100.00,2018
,0,0,13,Manchester,1,-,v England,B Stanlake,2,15.38,2018
,0,0,1,Lord's,1,1,v England,DA Warner,1*,100.00,2015
,0,0,1,Basseterre,1,3,v West Indies,NM Coulter-Nile,1*,100.00,2016
,0,0,5,Birmingham,1,15,v England,JR Hazlewood,1*,20.00,2017
,0,0,3,Auckland,1,4,v New Zealand,GJ Maxwell,1,33.33,2015
,0,0,7,Auckland,1,6,v New Zealand,MG Johnson,1,14.28,2015
,0,0,7,Belfast,1,8,v Ireland,GJ Bailey,1,14.28,2015
,0,0,2,Lord's,1,6,v England,MS Wade,1,50.00,2015
,0,0,4,Manchester,2,2,v England,MA Starc,1,25.00,2015
,0,0,2,Basseterre,1,5,v West Indies,TM Head,1,50.00,2016
