,Econ,Ground,Inns,Mdns,Opposition,Overs,Player,Runs,Wkts,Year
,5.50,Chennai,2,1,v South Africa,10.0,A Mishra,55,1,2015
,5.60,Mumbai,2,0,v New Zealand,10.0,B Kumar,56,1,2017
,6.22,Mumbai,2,0,v New Zealand,9.0,JJ Bumrah,56,1,2017
,5.60,Pune,1,1,v West Indies,10.0,YS Chahal,56,1,2018
,5.80,Indore,1,0,v Australia,10.0,HH Pandya,58,1,2017
,8.42,Ranchi,1,0,v New Zealand,7.0,DS Kulkarni,59,1,2016
,5.90,Visakhapatnam,2,0,v West Indies,10.0,Mohammed Shami,59,1,2018
,6.00,Ranchi,1,1,v New Zealand,10.0,UT Yadav,60,1,2016
,9.00,Pune,1,0,v England,7.0,UT Yadav,63,1,2017
,6.30,Cuttack,2,1,v England,10.0,B Kumar,63,1,2017
,6.30,Visakhapatnam,2,0,v West Indies,10.0,YS Chahal,63,1,2018
,6.40,Mumbai,2,0,v New Zealand,10.0,Kuldeep Yadav,64,1,2017
,6.40,Guwahati,1,0,v West Indies,10.0,KK Ahmed,64,1,2018
,6.50,Mohali,2,0,v Sri Lanka,10.0,Washington Sundar,65,1,2017
,6.50,Pune,1,0,v West Indies,10.0,KK Ahmed,65,1,2018
,6.80,Kolkata,1,1,v England,10.0,JJ Bumrah,68,1,2017
,7.00,Mumbai,1,0,v South Africa,10.0,Harbhajan Singh,70,1,2015
,7.00,Pune,1,0,v West Indies,10.0,B Kumar,70,1,2018
,7.80,Visakhapatnam,2,0,v West Indies,10.0,UT Yadav,78,1,2018
,12.00,Mumbai,1,0,v South Africa,7.0,MM Sharma,84,1,2015
,9.20,Kanpur,2,0,v New Zealand,10.0,B Kumar,92,1,2017
,10.60,Mumbai,1,0,v South Africa,10.0,B Kumar,106,1,2015
,3.00,Kanpur,1,0,v South Africa,0.2,V Kohli,1,0,2015
,2.00,Mohali,2,0,v Sri Lanka,1.0,SS Iyer,2,0,2017
,6.50,Rajkot,1,0,v South Africa,2.0,SK Raina,13,0,2015
,7.00,Mumbai,1,0,v South Africa,2.0,V Kohli,14,0,2015
,7.00,Pune,1,0,v England,2.0,Yuvraj Singh,14,0,2017
,5.66,Kolkata,1,0,v England,3.0,Yuvraj Singh,17,0,2017
,9.00,Indore,2,0,v South Africa,2.0,SK Raina,18,0,2015
,5.75,Pune,1,0,v England,4.0,KM Jadhav,23,0,2017
,3.12,Mumbai (BS),2,1,v West Indies,8.0,JJ Bumrah,25,0,2018
,3.37,Ranchi,1,0,v New Zealand,8.0,KM Jadhav,27,0,2016
,3.62,Dharamsala,1,1,v New Zealand,8.0,JJ Bumrah,29,0,2016
,3.87,Pune,1,0,v New Zealand,8.0,KM Jadhav,31,0,2017
,6.40,Bengaluru,1,0,v Australia,5.0,HH Pandya,32,0,2017
,6.80,Mohali,1,0,v New Zealand,5.0,HH Pandya,34,0,2016
,5.28,Kanpur,1,0,v South Africa,7.0,SK Raina,37,0,2015
,5.57,Kolkata,2,1,v Australia,7.0,JJ Bumrah,39,0,2017
,5.71,Kanpur,2,0,v New Zealand,7.0,AR Patel,40,0,2017
,4.55,Dharamsala,1,1,v New Zealand,9.0,AR Patel,41,0,2016
,5.00,Delhi,1,0,v New Zealand,9.0,HH Pandya,45,0,2016
,9.00,Cuttack,2,0,v England,5.0,KM Jadhav,45,0,2017
,9.40,Kanpur,2,0,v New Zealand,5.0,HH Pandya,47,0,2017
,4.80,Nagpur,1,1,v Australia,10.0,Kuldeep Yadav,48,0,2017
,4.90,Mohali,1,0,v New Zealand,10.0,AR Patel,49,0,2016
,4.90,Visakhapatnam,2,0,v West Indies,10.0,RA Jadeja,49,0,2018
,5.10,Mumbai,2,0,v New Zealand,10.0,YS Chahal,51,0,2017
,5.20,Indore,1,0,v Australia,10.0,B Kumar,52,0,2017
,6.75,Bengaluru,1,0,v Australia,8.0,YS Chahal,54,0,2017
,6.75,Kanpur,2,0,v New Zealand,8.0,KM Jadhav,54,0,2017
