,4s,6s,BF,Ground,Inns,Mins,Opposition,Player,Runs,SR,Year
,0,0,23,Perth,2,-,v England,SPD Smith (AUS),12,52.17,2018
,1,0,19,The Oval,1,20,v England,TD Paine (AUS),12,63.15,2018
,2,0,12,Lord's,2,-,v England,YS Chahal (INDIA),12,100.00,2018
,1,0,14,Dubai (DSC),2,-,v Afghanistan,DL Chahar (INDIA),12,85.71,2018
,0,0,26,Perth,1,-,v South Africa,PJ Cummins (AUS),12,46.15,2018
,2,0,12,Perth,1,-,v South Africa,MA Starc (AUS),12,100.00,2018
,0,0,21,Sydney,2,30,v Australia,KD Karthik (INDIA),12,57.14,2019
,2,0,11,Nagpur,2,12,v Australia,MK Pandey (INDIA),11*,100.00,2017
,1,0,5,Sydney,1,14,v India,GJ Maxwell (AUS),11*,220.00,2019
,2,0,22,North Sound,1,-,v West Indies,V Kohli (INDIA),11,50.00,2017
,1,0,11,North Sound,2,-,v West Indies,RA Jadeja (INDIA),11,100.00,2017
,1,0,17,Perth,2,-,v England,A Zampa (AUS),11,64.70,2018
,0,0,13,Cape Town,1,16,v South Africa,AM Rahane (INDIA),11,84.61,2018
,2,0,8,Perth,1,-,v South Africa,GJ Maxwell (AUS),11,137.50,2018
,1,0,15,Hobart,2,-,v South Africa,AJ Finch (AUS),11,73.33,2018
,1,0,24,Napier,2,38,v New Zealand,RG Sharma (INDIA),11,45.83,2019
,2,0,6,Kolkata,1,9,v Australia,JJ Bumrah (INDIA),10*,166.66,2017
,1,0,13,Adelaide,1,-,v South Africa,JR Hazlewood (AUS),10*,76.92,2018
,1,0,11,Melbourne,1,-,v India,PM Siddle (AUS),10*,90.90,2019
,0,0,14,North Sound,2,-,v West Indies,KM Jadhav (INDIA),10,71.42,2017
,2,0,10,Dharamsala,1,11,v Sri Lanka,HH Pandya (INDIA),10,100.00,2017
,0,0,22,Cape Town,1,38,v South Africa,MS Dhoni (INDIA),10,45.45,2018
,1,0,6,Cardiff,2,9,v England,AJ Tye (AUS),10,166.66,2018
,1,0,17,Pune,2,-,v West Indies,B Kumar (INDIA),10,58.82,2018
,1,0,20,Melbourne,1,-,v India,MP Stoinis (AUS),10,50.00,2019
,1,0,6,Indore,1,11,v India,AC Agar (AUS),9*,150.00,2017
,0,0,18,Nottingham,2,-,v England,KL Rahul (INDIA),9*,50.00,2018
,0,1,5,The Oval,1,8,v Sri Lanka,HH Pandya (INDIA),9,180.00,2017
,2,0,13,The Oval,2,18,v Pakistan,KM Jadhav (INDIA),9,69.23,2017
,1,0,10,Chennai,2,17,v India,MS Wade (AUS),9,90.00,2017
,1,0,7,Chennai,2,7,v India,PJ Cummins (AUS),9,128.57,2017
,1,0,12,Mumbai,1,15,v New Zealand,S Dhawan (INDIA),9,75.00,2017
,1,0,27,Dharamsala,1,60,v Sri Lanka,SS Iyer (INDIA),9,33.33,2017
,1,0,13,Johannesburg,1,17,v South Africa,HH Pandya (INDIA),9,69.23,2018
,0,0,18,Cardiff,2,21,v England,MP Stoinis (AUS),9,50.00,2018
,0,0,18,Dubai (DSC),1,-,v Hong Kong,B Kumar (INDIA),9,50.00,2018
,0,0,11,Dubai (DSC),2,-,v Afghanistan,Kuldeep Yadav (INDIA),9,81.81,2018
,1,0,17,Melbourne,2,-,v Australia,RG Sharma (INDIA),9,52.94,2019
,1,0,21,Hamilton,1,32,v New Zealand,Shubman Gill (INDIA),9,42.85,2019
,0,0,26,Lord's,2,-,v England,Kuldeep Yadav (INDIA),8*,30.76,2018
,0,0,20,Kolkata,2,30,v India,NM Coulter-Nile (AUS),8,40.00,2017
,1,0,6,Kanpur,1,9,v New Zealand,HH Pandya (INDIA),8,133.33,2017
,1,0,5,Mohali,1,12,v Sri Lanka,HH Pandya (INDIA),8,160.00,2017
,0,1,4,Brisbane,1,-,v England,AJ Tye (AUS),8,200.00,2018
,2,0,10,Sydney,2,-,v England,DA Warner (AUS),8,80.00,2018
,1,0,11,Perth,2,-,v England,AJ Tye (AUS),8,72.72,2018
,1,0,15,Johannesburg,1,30,v South Africa,AM Rahane (INDIA),8,53.33,2018
,0,0,18,Port Elizabeth,1,25,v South Africa,AM Rahane (INDIA),8,44.44,2018
,0,0,12,Manchester,1,-,v England,SE Marsh (AUS),8,66.66,2018
,0,0,17,Dubai (DSC),2,-,v Afghanistan,MS Dhoni (INDIA),8,47.05,2018
