,Econ,Ground,Inns,Mdns,Opposition,Overs,Player,Runs,Wkts,Year
,4.10,Dubai (DSC),1,0,v Pakistan,10.0,Kuldeep Yadav (INDIA),41,2,2018
,4.55,Dubai (DSC),1,0,v Bangladesh,9.0,KM Jadhav (INDIA),41,2,2018
,4.20,The Oval,2,1,v England,10.0,AJ Tye (AUS),42,2,2018
,4.20,Dubai (DSC),2,2,v Hong Kong,10.0,Kuldeep Yadav (INDIA),42,2,2018
,4.20,Adelaide,2,0,v South Africa,10.0,JR Hazlewood (AUS),42,2,2018
,6.00,Mount Maunganui,2,1,v New Zealand,7.0,B Kumar (INDIA),42,2,2019
,5.37,Birmingham,2,0,v Pakistan,8.0,HH Pandya (INDIA),43,2,2017
,5.37,Birmingham,2,0,v Pakistan,8.0,RA Jadeja (INDIA),43,2,2017
,4.30,Pallekele,1,1,v Sri Lanka,10.0,YS Chahal (INDIA),43,2,2017
,4.30,Mohali,2,0,v Sri Lanka,10.0,JJ Bumrah (INDIA),43,2,2017
,4.60,Port Elizabeth,2,0,v South Africa,9.2,YS Chahal (INDIA),43,2,2018
,4.30,Napier,1,0,v New Zealand,10.0,YS Chahal (INDIA),43,2,2019
,4.40,The Oval,2,1,v England,10.0,B Stanlake (AUS),44,2,2018
,4.50,Colombo (RPS),1,0,v Sri Lanka,10.0,JJ Bumrah (INDIA),45,2,2017
,4.50,Durban,1,0,v South Africa,10.0,YS Chahal (INDIA),45,2,2018
,4.50,Mount Maunganui,1,0,v New Zealand,10.0,HH Pandya (INDIA),45,2,2019
,5.75,The Oval,2,1,v England,8.0,MG Neser (AUS),46,2,2018
,5.11,Dubai (DSC),1,0,v Pakistan,9.0,YS Chahal (INDIA),46,2,2018
,4.60,Mount Maunganui,1,1,v New Zealand,10.0,B Kumar (INDIA),46,2,2019
,4.70,Kanpur,2,0,v New Zealand,10.0,YS Chahal (INDIA),47,2,2017
,4.86,Melbourne,1,0,v Australia,9.4,Mohammed Shami (INDIA),47,2,2019
,6.00,Chester-le-Street,2,0,v England,8.0,AC Agar (AUS),48,2,2018
,4.90,Visakhapatnam,1,1,v Sri Lanka,10.0,HH Pandya (INDIA),49,2,2017
,5.55,Birmingham,2,0,v England,9.0,JR Hazlewood (AUS),50,2,2017
,6.25,Colombo (RPS),2,0,v Sri Lanka,8.0,HH Pandya (INDIA),50,2,2017
,6.25,Wellington,2,1,v New Zealand,8.0,HH Pandya (INDIA),50,2,2019
,5.10,Nagpur,1,2,v Australia,10.0,JJ Bumrah (INDIA),51,2,2017
,8.50,Johannesburg,2,0,v South Africa,6.0,Kuldeep Yadav (INDIA),51,2,2018
,5.10,Adelaide,2,1,v South Africa,10.0,MA Starc (AUS),51,2,2018
,5.66,Mount Maunganui,1,0,v New Zealand,9.0,YS Chahal (INDIA),51,2,2019
,5.20,Indore,1,0,v Australia,10.0,JJ Bumrah (INDIA),52,2,2017
,5.20,Pune,1,0,v West Indies,10.0,Kuldeep Yadav (INDIA),52,2,2018
,5.57,Mount Maunganui,2,0,v New Zealand,9.2,YS Chahal (INDIA),52,2,2019
,5.30,Birmingham,1,1,v Bangladesh,10.0,B Kumar (INDIA),53,2,2017
,5.40,Chennai,1,0,v India,10.0,MP Stoinis (AUS),54,2,2017
,5.40,Indore,2,0,v India,10.0,PJ Cummins (AUS),54,2,2017
,5.40,Sydney,1,0,v Australia,10.0,Kuldeep Yadav (INDIA),54,2,2019
,5.60,Kolkata,2,0,v Australia,10.0,HH Pandya (INDIA),56,2,2017
,5.60,Bengaluru,2,0,v India,10.0,NM Coulter-Nile (AUS),56,2,2017
,7.00,Cardiff,1,0,v England,8.0,KW Richardson (AUS),56,2,2018
,5.70,Brisbane,2,1,v England,10.0,JA Richardson (AUS),57,2,2018
,5.70,Hobart,1,1,v South Africa,10.0,MA Starc (AUS),57,2,2018
,5.80,Sydney,1,0,v England,10.0,JR Hazlewood (AUS),58,2,2018
,7.37,Nagpur,2,0,v India,8.0,A Zampa (AUS),59,2,2017
,6.00,Dambulla,1,0,v Sri Lanka,10.0,YS Chahal (INDIA),60,2,2017
,6.30,Melbourne,2,0,v England,10.0,PJ Cummins (AUS),63,2,2018
,6.40,Cardiff,1,0,v England,10.0,JA Richardson (AUS),64,2,2018
,6.60,Guwahati,1,0,v West Indies,10.0,RA Jadeja (INDIA),66,2,2018
,6.60,Sydney,1,0,v Australia,10.0,B Kumar (INDIA),66,2,2019
,6.60,Sydney,2,0,v India,10.0,MP Stoinis (AUS),66,2,2019
