,4s,6s,BF,Ground,Inns,Mins,Opposition,Player,Runs,SR,Year
,2,0,24,The Oval,1,39,v England,AJ Finch,19,79.16,2018
,2,1,20,The Oval,1,27,v England,AJ Tye,19,95.00,2018
,3,1,15,Cardiff,2,17,v England,TM Head,19,126.66,2018
,1,1,19,Nottingham,2,-,v England,GJ Maxwell,19,100.00,2018
,3,0,15,Chester-le-Street,1,-,v England,AC Agar,19,126.66,2018
,3,0,17,Auckland,2,14,v New Zealand,SPD Smith,18,105.88,2016
,2,0,18,Centurion,1,25,v South Africa,TM Head,18,100.00,2016
,1,1,8,Durban,1,16,v South Africa,MS Wade,17*,212.50,2016
,3,0,12,Manchester,2,16,v England,GJ Maxwell,17,141.66,2015
,0,0,24,Leeds,1,32,v England,MR Marsh,17,70.83,2015
,1,0,26,Hamilton,2,49,v New Zealand,MS Wade,17,65.38,2016
,1,0,17,Bridgetown,2,24,v West Indies,UT Khawaja,17,100.00,2016
,1,1,25,Bridgetown,1,26,v West Indies,MA Starc,17,68.00,2016
,3,0,19,Birmingham,1,17,v England,MC Henriques,17,89.47,2017
,3,0,14,Hamilton,2,19,v New Zealand,DA Warner,16,114.28,2016
,2,0,16,Basseterre,1,27,v West Indies,MR Marsh,16,100.00,2016
,3,0,11,Bridgetown,2,20,v West Indies,AJ Finch,16,145.45,2016
,3,0,21,Auckland,2,37,v New Zealand,SE Marsh,16,76.19,2017
,1,0,25,Nagpur,1,31,v India,SPD Smith,16,64.00,2017
,1,1,9,Bengaluru,1,17,v India,MP Stoinis,15*,166.66,2017
,1,0,15,Southampton,1,22,v England,GJ Maxwell,15,100.00,2015
,2,0,27,Leeds,1,37,v England,AJ Finch,15,55.55,2015
,1,0,10,Bridgetown,1,16,v West Indies,NM Coulter-Nile,15,150.00,2016
,1,0,11,Cardiff,2,16,v England,TD Paine,15,136.36,2018
,1,1,12,Nottingham,2,-,v England,DJM Short,15,125.00,2018
,1,1,7,Auckland,1,10,v New Zealand,AJ Finch,14,200.00,2015
,3,0,14,Bridgetown,1,20,v West Indies,UT Khawaja,14,100.00,2016
,2,0,12,Johannesburg,2,21,v South Africa,SPD Smith,14,116.66,2016
,0,2,18,Kolkata,2,21,v India,GJ Maxwell,14,77.77,2017
,0,0,25,Nottingham,2,-,v England,JA Richardson,14,56.00,2018
,0,1,16,Manchester,1,-,v England,KW Richardson,14,87.50,2018
,1,0,26,Manchester,2,27,v England,MR Marsh,13,50.00,2015
,1,0,19,Colombo (RPS),2,29,v Sri Lanka,JP Faulkner,13,68.42,2016
,1,0,20,Pallekele,2,21,v Sri Lanka,TM Head,13,65.00,2016
,0,0,17,Nagpur,1,19,v India,PSP Handscomb,13,76.47,2017
,1,0,18,Auckland,1,37,v New Zealand,MJ Clarke,12,66.66,2015
,1,0,28,Manchester,2,30,v England,SPD Smith,12,42.85,2015
,2,0,11,Auckland,2,28,v New Zealand,DA Warner,12,109.09,2016
,1,1,8,Dambulla,2,11,v Sri Lanka,MA Starc,12,150.00,2016
,1,0,19,Centurion,1,21,v South Africa,A Zampa,12,63.15,2016
,0,0,17,Nagpur,1,27,v India,JP Faulkner,12,70.58,2017
,1,0,19,The Oval,1,20,v England,TD Paine,12,63.15,2018
,1,0,15,Belfast,1,15,v Ireland,MR Marsh,11,73.33,2015
,1,0,17,Colombo (RPS),2,23,v Sri Lanka,TM Head,10,58.82,2016
,1,0,12,Dambulla,2,21,v Sri Lanka,DA Warner,10,83.33,2016
,1,0,6,Cardiff,2,9,v England,AJ Tye,10,166.66,2018
,0,0,19,Providence,2,24,v West Indies,MR Marsh,9*,47.36,2016
,1,0,6,Indore,1,11,v India,AC Agar,9*,150.00,2017
,0,0,18,Manchester,2,26,v England,JA Burns,9,50.00,2015
,2,0,18,Johannesburg,2,23,v South Africa,GJ Bailey,9,50.00,2016
