,4s,6s,BF,Ground,Inns,Mins,Opposition,Player,Runs,SR,Year
,1,0,5,Hamilton,1,8,v New Zealand,KK Ahmed (INDIA),5,100.00,2019
,0,0,3,Kanpur,1,4,v New Zealand,KD Karthik (INDIA),4*,133.33,2017
,1,0,1,Melbourne,1,2,v England,AJ Tye (AUS),4*,400.00,2018
,1,0,3,Durban,2,5,v South Africa,MS Dhoni (INDIA),4*,133.33,2018
,0,0,7,Birmingham,1,8,v England,PJ Cummins (AUS),4,57.14,2017
,0,0,16,The Oval,2,23,v Pakistan,MS Dhoni (INDIA),4,25.00,2017
,0,0,5,Port of Spain,1,-,v West Indies,HH Pandya (INDIA),4,80.00,2017
,1,0,3,Kingston,2,-,v West Indies,S Dhawan (INDIA),4,133.33,2017
,0,0,13,Dambulla,2,-,v Sri Lanka,RG Sharma (INDIA),4,30.76,2017
,0,0,6,Pallekele,2,-,v Sri Lanka,KL Rahul (INDIA),4,66.66,2017
,1,0,2,Pallekele,2,-,v Sri Lanka,V Kohli (INDIA),4,200.00,2017
,1,0,6,Colombo (RPS),1,-,v Sri Lanka,S Dhawan (INDIA),4,66.66,2017
,0,0,6,Indore,1,18,v India,TM Head (AUS),4,66.66,2017
,0,0,6,Brisbane,1,-,v England,MP Stoinis (AUS),4,66.66,2018
,0,0,16,Adelaide,2,-,v England,SPD Smith (AUS),4,25.00,2018
,1,0,6,Guwahati,2,-,v West Indies,S Dhawan (INDIA),4,66.66,2018
,1,0,8,Visakhapatnam,1,14,v West Indies,RG Sharma (INDIA),4,50.00,2018
,0,0,6,Indore,2,9,v Australia,MS Dhoni (INDIA),3*,50.00,2017
,0,0,3,Bengaluru,1,6,v India,MS Wade (AUS),3*,100.00,2017
,0,0,1,Adelaide,2,-,v England,AJ Tye (AUS),3*,300.00,2018
,0,0,6,Durban,2,15,v South Africa,HH Pandya (INDIA),3*,50.00,2018
,0,0,3,Chester-le-Street,1,-,v England,NM Lyon (AUS),3*,100.00,2018
,0,0,12,North Sound,2,-,v West Indies,V Kohli (INDIA),3,25.00,2017
,0,0,11,Pallekele,2,-,v Sri Lanka,V Kohli (INDIA),3,27.27,2017
,0,0,10,Chennai,2,28,v India,MP Stoinis (AUS),3,30.00,2017
,0,0,13,Kolkata,1,14,v Australia,MK Pandey (INDIA),3,23.07,2017
,0,0,7,Indore,1,13,v India,PSP Handscomb (AUS),3,42.85,2017
,0,0,5,Bengaluru,1,5,v India,SPD Smith (AUS),3,60.00,2017
,0,0,6,Brisbane,1,-,v England,MA Starc (AUS),3,50.00,2018
,0,0,7,Adelaide,2,-,v England,CL White (AUS),3,42.85,2018
,0,0,9,Adelaide,2,-,v England,PJ Cummins (AUS),3,33.33,2018
,0,0,5,Chester-le-Street,1,-,v England,TD Paine (AUS),3,60.00,2018
,0,0,5,Pune,2,-,v West Indies,YS Chahal (INDIA),3,60.00,2018
,0,0,11,Pune,2,-,v West Indies,KK Ahmed (INDIA),3,27.27,2018
,0,0,8,Adelaide,1,-,v South Africa,PJ Cummins (AUS),3,37.50,2018
,0,0,8,Sydney,2,10,v Australia,V Kohli (INDIA),3,37.50,2019
,0,0,6,Sydney,2,14,v Australia,Kuldeep Yadav (INDIA),3,50.00,2019
,0,0,6,North Sound,2,-,v West Indies,Kuldeep Yadav (INDIA),2*,33.33,2017
,0,0,2,Bengaluru,2,3,v Australia,UT Yadav (INDIA),2*,100.00,2017
,0,0,2,Nagpur,1,7,v India,PJ Cummins (AUS),2*,100.00,2017
,0,0,4,Port Elizabeth,1,7,v South Africa,Kuldeep Yadav (INDIA),2*,50.00,2018
,0,0,3,Birmingham,1,5,v England,MS Wade (AUS),2,66.66,2017
,0,0,6,North Sound,1,-,v West Indies,S Dhawan (INDIA),2,33.33,2017
,0,0,19,North Sound,2,-,v West Indies,KD Karthik (INDIA),2,10.52,2017
,0,0,5,Chennai,2,9,v India,NM Coulter-Nile (AUS),2,40.00,2017
,0,0,8,Kolkata,2,16,v India,MS Wade (AUS),2,25.00,2017
,0,0,4,Indore,2,3,v Australia,KM Jadhav (INDIA),2,50.00,2017
,0,0,13,Dharamsala,1,19,v Sri Lanka,RG Sharma (INDIA),2,15.38,2017
,0,0,15,Dharamsala,1,21,v Sri Lanka,MK Pandey (INDIA),2,13.33,2017
,0,0,5,Melbourne,1,8,v England,DA Warner (AUS),2,40.00,2018
