,4s,6s,BF,Ground,Inns,Mins,Opposition,Player,Runs,SR,Year
,-,-,-,Melbourne,1,-,v England,A Zampa (AUS),DNB,-,2018
,-,-,-,Brisbane,1,-,v England,JA Richardson (AUS),DNB,-,2018
,-,-,-,Sydney,2,-,v England,JR Hazlewood (AUS),DNB,-,2018
,-,-,-,Sydney,2,-,v England,A Zampa (AUS),DNB,-,2018
,-,-,-,Sydney,2,-,v England,MA Starc (AUS),DNB,-,2018
,-,-,-,Adelaide,2,-,v England,A Zampa (AUS),DNB,-,2018
,-,-,-,Adelaide,2,-,v England,JR Hazlewood (AUS),DNB,-,2018
,-,-,-,Durban,2,-,v South Africa,YS Chahal (INDIA),DNB,-,2018
,-,-,-,Durban,2,-,v South Africa,KM Jadhav (INDIA),DNB,-,2018
,-,-,-,Durban,2,-,v South Africa,JJ Bumrah (INDIA),DNB,-,2018
,-,-,-,Durban,2,-,v South Africa,Kuldeep Yadav (INDIA),DNB,-,2018
,-,-,-,Durban,2,-,v South Africa,B Kumar (INDIA),DNB,-,2018
,-,-,-,Centurion,2,-,v South Africa,Kuldeep Yadav (INDIA),DNB,-,2018
,-,-,-,Centurion,2,-,v South Africa,MS Dhoni (INDIA),DNB,-,2018
,-,-,-,Centurion,2,-,v South Africa,B Kumar (INDIA),DNB,-,2018
,-,-,-,Centurion,2,-,v South Africa,AM Rahane (INDIA),DNB,-,2018
,-,-,-,Centurion,2,-,v South Africa,HH Pandya (INDIA),DNB,-,2018
,-,-,-,Centurion,2,-,v South Africa,YS Chahal (INDIA),DNB,-,2018
,-,-,-,Centurion,2,-,v South Africa,KM Jadhav (INDIA),DNB,-,2018
,-,-,-,Centurion,2,-,v South Africa,JJ Bumrah (INDIA),DNB,-,2018
,-,-,-,Cape Town,1,-,v South Africa,YS Chahal (INDIA),DNB,-,2018
,-,-,-,Cape Town,1,-,v South Africa,JJ Bumrah (INDIA),DNB,-,2018
,-,-,-,Cape Town,1,-,v South Africa,Kuldeep Yadav (INDIA),DNB,-,2018
,-,-,-,Johannesburg,1,-,v South Africa,JJ Bumrah (INDIA),DNB,-,2018
,-,-,-,Johannesburg,1,-,v South Africa,YS Chahal (INDIA),DNB,-,2018
,-,-,-,Port Elizabeth,1,-,v South Africa,YS Chahal (INDIA),DNB,-,2018
,-,-,-,Port Elizabeth,1,-,v South Africa,JJ Bumrah (INDIA),DNB,-,2018
,-,-,-,Centurion,2,-,v South Africa,YS Chahal (INDIA),DNB,-,2018
,-,-,-,Centurion,2,-,v South Africa,SS Iyer (INDIA),DNB,-,2018
,-,-,-,Centurion,2,-,v South Africa,HH Pandya (INDIA),DNB,-,2018
,-,-,-,Centurion,2,-,v South Africa,SN Thakur (INDIA),DNB,-,2018
,-,-,-,Centurion,2,-,v South Africa,JJ Bumrah (INDIA),DNB,-,2018
,-,-,-,Centurion,2,-,v South Africa,MS Dhoni (INDIA),DNB,-,2018
,-,-,-,Centurion,2,-,v South Africa,Kuldeep Yadav (INDIA),DNB,-,2018
,-,-,-,Chester-le-Street,1,-,v England,B Stanlake (AUS),DNB,-,2018
,-,-,-,Nottingham,2,-,v England,HH Pandya (INDIA),DNB,-,2018
,-,-,-,Nottingham,2,-,v England,SK Raina (INDIA),DNB,-,2018
,-,-,-,Nottingham,2,-,v England,YS Chahal (INDIA),DNB,-,2018
,-,-,-,Nottingham,2,-,v England,UT Yadav (INDIA),DNB,-,2018
,-,-,-,Nottingham,2,-,v England,Kuldeep Yadav (INDIA),DNB,-,2018
,-,-,-,Nottingham,2,-,v England,MS Dhoni (INDIA),DNB,-,2018
,-,-,-,Nottingham,2,-,v England,S Kaul (INDIA),DNB,-,2018
,-,-,-,Leeds,1,-,v England,Kuldeep Yadav (INDIA),DNB,-,2018
,-,-,-,Leeds,1,-,v England,YS Chahal (INDIA),DNB,-,2018
,-,-,-,Dubai (DSC),1,-,v Hong Kong,KK Ahmed (INDIA),DNB,-,2018
,-,-,-,Dubai (DSC),1,-,v Hong Kong,YS Chahal (INDIA),DNB,-,2018
,-,-,-,Dubai (DSC),2,-,v Pakistan,B Kumar (INDIA),DNB,-,2018
,-,-,-,Dubai (DSC),2,-,v Pakistan,HH Pandya (INDIA),DNB,-,2018
,-,-,-,Dubai (DSC),2,-,v Pakistan,MS Dhoni (INDIA),DNB,-,2018
,-,-,-,Dubai (DSC),2,-,v Pakistan,YS Chahal (INDIA),DNB,-,2018
