,4s,6s,BF,Ground,Inns,Mins,Opposition,Player,Runs,SR,Year
,-,-,-,Adelaide,2,-,v Australia,Kuldeep Yadav (INDIA),DNB,-,2019
,-,-,-,Melbourne,2,-,v Australia,KD Karthik (INDIA),DNB,-,2019
,-,-,-,Melbourne,2,-,v Australia,YS Chahal (INDIA),DNB,-,2019
,-,-,-,Melbourne,2,-,v Australia,RA Jadeja (INDIA),DNB,-,2019
,-,-,-,Melbourne,2,-,v Australia,V Shankar (INDIA),DNB,-,2019
,-,-,-,Melbourne,2,-,v Australia,B Kumar (INDIA),DNB,-,2019
,-,-,-,Melbourne,2,-,v Australia,Mohammed Shami (INDIA),DNB,-,2019
,-,-,-,Napier,2,-,v New Zealand,B Kumar (INDIA),DNB,-,2019
,-,-,-,Napier,2,-,v New Zealand,Mohammed Shami (INDIA),DNB,-,2019
,-,-,-,Napier,2,-,v New Zealand,MS Dhoni (INDIA),DNB,-,2019
,-,-,-,Napier,2,-,v New Zealand,YS Chahal (INDIA),DNB,-,2019
,-,-,-,Napier,2,-,v New Zealand,KM Jadhav (INDIA),DNB,-,2019
,-,-,-,Napier,2,-,v New Zealand,Kuldeep Yadav (INDIA),DNB,-,2019
,-,-,-,Napier,2,-,v New Zealand,V Shankar (INDIA),DNB,-,2019
,-,-,-,Mount Maunganui,1,-,v New Zealand,Mohammed Shami (INDIA),DNB,-,2019
,-,-,-,Mount Maunganui,1,-,v New Zealand,YS Chahal (INDIA),DNB,-,2019
,-,-,-,Mount Maunganui,1,-,v New Zealand,Kuldeep Yadav (INDIA),DNB,-,2019
,-,-,-,Mount Maunganui,1,-,v New Zealand,V Shankar (INDIA),DNB,-,2019
,-,-,-,Mount Maunganui,1,-,v New Zealand,B Kumar (INDIA),DNB,-,2019
,-,-,-,Mount Maunganui,2,-,v New Zealand,YS Chahal (INDIA),DNB,-,2019
,-,-,-,Mount Maunganui,2,-,v New Zealand,KM Jadhav (INDIA),DNB,-,2019
,-,-,-,Mount Maunganui,2,-,v New Zealand,HH Pandya (INDIA),DNB,-,2019
,-,-,-,Mount Maunganui,2,-,v New Zealand,Mohammed Shami (INDIA),DNB,-,2019
,-,-,-,Mount Maunganui,2,-,v New Zealand,B Kumar (INDIA),DNB,-,2019
,-,-,-,Mount Maunganui,2,-,v New Zealand,Kuldeep Yadav (INDIA),DNB,-,2019
