,Econ,Ground,Inns,Mdns,Opposition,Overs,Player,Runs,Wkts,Year
,7.16,Pallekele,1,0,v Sri Lanka,6.0,A Zampa,43,2,2016
,4.40,Lord's,2,0,v England,10.0,GJ Maxwell,44,2,2015
,4.71,Dambulla,1,0,v Sri Lanka,9.2,JP Faulkner,44,2,2016
,4.40,Hamilton,1,0,v New Zealand,10.0,JR Hazlewood,44,2,2017
,4.40,The Oval,2,1,v England,10.0,B Stanlake,44,2,2018
,4.50,Hamilton,1,0,v New Zealand,10.0,JR Hazlewood,45,2,2016
,5.75,The Oval,2,1,v England,8.0,MG Neser,46,2,2018
,5.05,Southampton,2,1,v England,9.3,PJ Cummins,48,2,2015
,4.80,Port Elizabeth,2,0,v South Africa,10.0,CP Tremain,48,2,2016
,6.00,Chester-le-Street,2,0,v England,8.0,AC Agar,48,2,2018
,5.00,Manchester,1,1,v England,10.0,PJ Cummins,50,2,2015
,5.55,Birmingham,2,0,v England,9.0,JR Hazlewood,50,2,2017
,5.77,Leeds,2,0,v England,9.0,MR Marsh,52,2,2015
,5.40,Chennai,1,0,v India,10.0,MP Stoinis,54,2,2017
,5.40,Indore,2,0,v India,10.0,PJ Cummins,54,2,2017
,5.50,Southampton,2,0,v England,10.0,MA Starc,55,2,2015
,5.60,Manchester,1,0,v England,10.0,GJ Maxwell,56,2,2015
,5.60,Bridgetown,1,0,v West Indies,10.0,JP Faulkner,56,2,2016
,5.60,Bengaluru,2,0,v India,10.0,NM Coulter-Nile,56,2,2017
,7.00,Cardiff,1,0,v England,8.0,KW Richardson,56,2,2018
,5.70,Wellington,1,0,v New Zealand,10.0,A Zampa,57,2,2016
,6.55,Hamilton,1,0,v New Zealand,9.0,SM Boland,59,2,2016
,7.37,Nagpur,2,0,v India,8.0,A Zampa,59,2,2017
,8.57,Basseterre,2,0,v West Indies,7.0,A Zampa,60,2,2016
,6.10,Wellington,1,0,v New Zealand,10.0,SM Boland,61,2,2016
,6.40,Cardiff,1,0,v England,10.0,JA Richardson,64,2,2018
,6.70,Auckland,1,0,v New Zealand,10.0,JP Faulkner,67,2,2016
,6.93,Basseterre,2,0,v West Indies,9.4,NM Coulter-Nile,67,2,2016
,7.44,Auckland,1,0,v New Zealand,9.0,PJ Cummins,67,2,2017
,6.80,Auckland,1,1,v New Zealand,10.0,JR Hazlewood,68,2,2016
,6.80,Johannesburg,1,0,v South Africa,10.0,MR Marsh,68,2,2016
,6.80,Cape Town,1,0,v South Africa,10.0,SM Boland,68,2,2016
,6.90,Bridgetown,1,0,v West Indies,10.0,SM Boland,69,2,2016
,7.90,Durban,2,0,v South Africa,10.0,JW Hastings,79,2,2016
,9.00,Cardiff,1,0,v England,9.0,AJ Tye,81,2,2018
,1.50,Providence,1,1,v West Indies,2.0,GJ Maxwell,3,1,2016
,1.66,Providence,1,1,v West Indies,3.0,MR Marsh,5,1,2016
,2.50,Dambulla,1,0,v Sri Lanka,2.0,TM Head,5,1,2016
,7.00,Auckland,2,0,v New Zealand,1.0,GJ Maxwell,7,1,2015
,6.00,Manchester,1,0,v England,2.0,AC Agar,12,1,2015
,4.20,Auckland,1,0,v New Zealand,5.0,TM Head,21,1,2017
,4.40,Port Elizabeth,2,0,v South Africa,5.0,MR Marsh,22,1,2016
,4.42,Pallekele,1,0,v Sri Lanka,6.2,SM Boland,28,1,2016
,4.83,Southampton,2,0,v England,6.0,GJ Maxwell,29,1,2015
,4.83,Auckland,1,0,v New Zealand,6.0,JP Faulkner,29,1,2017
,3.75,Dambulla,1,0,v Sri Lanka,8.0,A Zampa,30,1,2016
,4.28,Pallekele,1,1,v Sri Lanka,7.0,JW Hastings,30,1,2016
,4.28,Pallekele,1,0,v Sri Lanka,7.0,JP Faulkner,30,1,2016
,5.16,Basseterre,2,0,v West Indies,6.0,JP Faulkner,31,1,2016
,10.33,Durban,2,0,v South Africa,3.0,TM Head,31,1,2016
