,Econ,Ground,Inns,Mdns,Opposition,Overs,Player,Runs,Wkts,Year
,5.20,Pune,1,0,v West Indies,10.0,Kuldeep Yadav,52,2,2018
,5.60,Kolkata,2,0,v Australia,10.0,HH Pandya,56,2,2017
,6.88,Rajkot,1,0,v South Africa,9.0,MM Sharma,62,2,2015
,6.20,Kolkata,1,0,v England,10.0,RA Jadeja,62,2,2017
,6.60,Guwahati,1,0,v West Indies,10.0,RA Jadeja,66,2,2018
,7.10,Kanpur,1,0,v South Africa,10.0,UT Yadav,71,2,2015
,7.50,Indore,1,0,v Australia,10.0,Kuldeep Yadav,75,2,2017
,7.90,Pune,1,0,v England,10.0,JJ Bumrah,79,2,2017
,9.00,Cuttack,2,0,v England,9.0,JJ Bumrah,81,2,2017
,8.10,Guwahati,1,0,v West Indies,10.0,Mohammed Shami,81,2,2018
,2.00,Visakhapatnam,2,0,v New Zealand,4.0,J Yadav,8,1,2016
,5.50,Delhi,1,0,v New Zealand,2.0,KM Jadhav,11,1,2016
,2.75,Thiruvananthapuram,1,1,v West Indies,4.0,B Kumar,11,1,2018
,3.00,Kanpur,1,0,v South Africa,4.4,R Ashwin,14,1,2015
,7.00,Nagpur,1,0,v Australia,2.0,HH Pandya,14,1,2017
,3.20,Visakhapatnam,2,0,v New Zealand,5.0,JJ Bumrah,16,1,2016
,3.60,Thiruvananthapuram,1,1,v West Indies,5.0,Kuldeep Yadav,18,1,2018
,6.33,Mumbai,1,0,v South Africa,3.0,SK Raina,19,1,2015
,5.00,Chennai,2,0,v Australia,4.0,JJ Bumrah,20,1,2017
,4.20,Indore,2,0,v South Africa,5.0,MM Sharma,21,1,2015
,5.75,Pune,1,0,v New Zealand,4.0,HH Pandya,23,1,2017
,6.25,Chennai,2,0,v Australia,4.0,B Kumar,25,1,2017
,7.00,Visakhapatnam,2,0,v New Zealand,4.0,UT Yadav,28,1,2016
,6.00,Mumbai (BS),2,1,v West Indies,5.0,B Kumar,30,1,2018
,6.20,Ranchi,1,0,v New Zealand,5.0,HH Pandya,31,1,2016
,4.57,Dharamsala,2,1,v Sri Lanka,7.0,JJ Bumrah,32,1,2017
,5.12,Visakhapatnam,1,0,v Sri Lanka,6.5,B Kumar,35,1,2017
,3.80,Rajkot,1,0,v South Africa,10.0,A Mishra,38,1,2015
,3.80,Ranchi,1,0,v New Zealand,10.0,AR Patel,38,1,2016
,5.42,Bengaluru,1,0,v Australia,7.0,KM Jadhav,38,1,2017
,7.80,Dharamsala,2,0,v Sri Lanka,5.0,HH Pandya,39,1,2017
,3.90,Mohali,2,0,v Sri Lanka,10.0,HH Pandya,39,1,2017
,4.87,Visakhapatnam,1,1,v Sri Lanka,8.0,JJ Bumrah,39,1,2017
,3.90,Mumbai (BS),2,1,v West Indies,10.0,RA Jadeja,39,1,2018
,4.00,Chennai,2,0,v South Africa,10.0,AR Patel,40,1,2015
,5.00,Nagpur,1,0,v Australia,8.0,B Kumar,40,1,2017
,4.44,Mohali,2,0,v Sri Lanka,9.0,B Kumar,40,1,2017
,4.10,Rajkot,1,0,v South Africa,10.0,Harbhajan Singh,41,1,2015
,4.66,Delhi,1,0,v New Zealand,9.0,UT Yadav,42,1,2016
,4.84,Dharamsala,2,1,v Sri Lanka,8.4,B Kumar,42,1,2017
,4.50,Cuttack,2,0,v England,10.0,RA Jadeja,45,1,2017
,4.60,Mumbai,2,0,v New Zealand,10.0,HH Pandya,46,1,2017
,4.80,Chennai,2,0,v South Africa,10.0,MM Sharma,48,1,2015
,4.80,Nagpur,1,0,v Australia,10.0,KM Jadhav,48,1,2017
,4.90,Delhi,1,0,v New Zealand,10.0,AR Patel,49,1,2016
,5.00,Pune,1,0,v England,10.0,RA Jadeja,50,1,2017
,5.66,Rajkot,1,0,v South Africa,9.0,AR Patel,51,1,2015
,6.50,Indore,2,0,v South Africa,8.0,UT Yadav,52,1,2015
,5.40,Indore,1,0,v Australia,10.0,YS Chahal,54,1,2017
,5.40,Pune,1,1,v New Zealand,10.0,AR Patel,54,1,2017
