,4s,6s,BF,Ground,Inns,Mins,Opposition,Player,Runs,SR,Year
,6,4,99,Perth,2,-,v England,MP Stoinis (AUS),87,87.87,2018
,9,3,96,Mount Maunganui,1,116,v New Zealand,RG Sharma (INDIA),87,90.62,2019
,5,3,104,Dubai (DSC),2,-,v Bangladesh,RG Sharma (INDIA),83*,79.80,2018
,5,5,66,Chennai,1,86,v Australia,HH Pandya (INDIA),83,125.75,2017
,10,1,70,Dambulla,2,-,v Sri Lanka,V Kohli (INDIA),82*,117.14,2017
,6,3,68,Birmingham,1,108,v Pakistan,V Kohli (INDIA),81*,119.11,2017
,4,2,88,Chennai,1,152,v Australia,MS Dhoni (INDIA),79,89.77,2017
,5,2,86,Durban,2,126,v South Africa,AM Rahane (INDIA),79,91.86,2018
,4,2,79,North Sound,1,-,v West Indies,MS Dhoni (INDIA),78*,98.73,2017
,6,3,79,The Oval,1,107,v Sri Lanka,RG Sharma (INDIA),78,98.73,2017
,12,1,83,The Oval,2,130,v South Africa,S Dhawan (INDIA),78,93.97,2017
,5,4,72,Indore,2,98,v Australia,HH Pandya (INDIA),78,108.33,2017
,7,1,101,The Oval,2,136,v South Africa,V Kohli (INDIA),76*,75.24,2017
,4,6,43,The Oval,2,46,v Pakistan,HH Pandya (INDIA),76,176.74,2017
,12,0,63,Cape Town,1,105,v South Africa,S Dhawan (INDIA),76,120.63,2018
,6,0,103,Napier,2,142,v New Zealand,S Dhawan (INDIA),75*,72.81,2019
,7,1,83,Johannesburg,1,119,v South Africa,V Kohli (INDIA),75,90.36,2018
,7,0,82,Nottingham,2,-,v England,V Kohli (INDIA),75,91.46,2018
,8,0,80,Visakhapatnam,1,105,v West Indies,AT Rayudu (INDIA),73,91.25,2018
,6,2,61,Sydney,1,89,v India,PSP Handscomb (AUS),73,119.67,2019
,4,1,112,North Sound,1,-,v West Indies,AM Rahane (INDIA),72,64.28,2017
,5,2,64,Birmingham,1,95,v England,TM Head (AUS),71*,110.93,2017
,6,4,62,Indore,2,94,v Australia,RG Sharma (INDIA),71,114.51,2017
,8,0,72,Leeds,1,98,v England,V Kohli (INDIA),71,98.61,2018
,9,0,76,Indore,2,103,v Australia,AM Rahane (INDIA),70,92.10,2017
,6,1,65,Birmingham,1,95,v Pakistan,S Dhawan (INDIA),68,104.61,2017
,8,0,64,Birmingham,1,98,v England,AJ Finch (AUS),68,106.25,2017
,5,2,84,Pune,2,125,v New Zealand,S Dhawan (INDIA),68,80.95,2017
,9,0,67,Mohali,1,87,v Sri Lanka,S Dhawan (INDIA),68,101.49,2017
,4,1,86,Pallekele,2,-,v Sri Lanka,MS Dhoni (INDIA),67*,77.90,2017
,7,1,69,Bengaluru,2,95,v Australia,KM Jadhav (INDIA),67,97.10,2017
,9,0,67,Mount Maunganui,1,99,v New Zealand,S Dhawan (INDIA),66,98.50,2019
,1,5,55,Bengaluru,2,93,v Australia,RG Sharma (INDIA),65,118.18,2017
,10,2,87,Dharamsala,1,129,v Sri Lanka,MS Dhoni (INDIA),65,74.71,2017
,8,1,63,Visakhapatnam,2,82,v Sri Lanka,SS Iyer (INDIA),65,103.17,2017
,4,0,92,Pune,2,138,v New Zealand,KD Karthik (INDIA),64*,69.56,2017
,5,4,56,Thiruvananthapuram,2,65,v West Indies,RG Sharma (INDIA),63*,112.50,2018
,7,2,52,The Oval,1,78,v Sri Lanka,MS Dhoni (INDIA),63,121.15,2017
,10,0,59,Port of Spain,1,-,v West Indies,S Dhawan (INDIA),63,106.77,2017
,7,0,73,Colombo (RPS),2,-,v Sri Lanka,KM Jadhav (INDIA),63,86.30,2017
,5,0,71,Indore,1,111,v India,SPD Smith (AUS),63,88.73,2017
,9,0,64,Chester-le-Street,1,-,v England,TM Head (AUS),63,98.43,2018
,5,4,76,Hobart,2,-,v South Africa,MP Stoinis (AUS),63,82.89,2018
,6,3,65,Kolkata,2,97,v India,MP Stoinis (AUS),62*,95.38,2017
,3,3,53,Sydney,2,-,v England,AJ Finch (AUS),62,116.98,2018
,4,2,64,The Oval,1,73,v England,GJ Maxwell (AUS),62,96.87,2018
,3,2,77,Mount Maunganui,2,115,v New Zealand,RG Sharma (INDIA),62,80.51,2019
,7,0,57,Melbourne,2,-,v Australia,KM Jadhav (INDIA),61*,107.01,2019
,7,0,74,Nagpur,2,93,v Australia,AM Rahane (INDIA),61,82.43,2017
,7,0,91,North Sound,2,-,v West Indies,AM Rahane (INDIA),60,65.93,2017
