,Econ,Ground,Inns,Mdns,Opposition,Overs,Player,Runs,Wkts,Year
,4.50,Pune,1,0,v New Zealand,10.0,B Kumar (INDIA),45,3,2017
,4.50,Dubai (DSC),1,0,v Bangladesh,10.0,Kuldeep Yadav (INDIA),45,3,2018
,4.60,Visakhapatnam,1,3,v Sri Lanka,10.0,YS Chahal (INDIA),46,3,2017
,4.60,Dubai (DSC),2,0,v Hong Kong,10.0,YS Chahal (INDIA),46,3,2018
,4.60,Dubai (DSC),1,1,v Afghanistan,10.0,RA Jadeja (INDIA),46,3,2018
,4.70,Kanpur,2,0,v New Zealand,10.0,JJ Bumrah (INDIA),47,3,2017
,4.80,Dubai (DSC),2,0,v Hong Kong,10.0,KK Ahmed (INDIA),48,3,2018
,5.55,Port of Spain,2,0,v West Indies,9.0,Kuldeep Yadav (INDIA),50,3,2017
,5.10,Kolkata,1,0,v India,10.0,NM Coulter-Nile (AUS),51,3,2017
,5.66,Manchester,2,0,v England,9.0,KW Richardson (AUS),51,3,2018
,5.30,Kingston,1,1,v West Indies,10.0,UT Yadav (INDIA),53,3,2017
,5.40,Kolkata,2,1,v Australia,10.0,Kuldeep Yadav (INDIA),54,3,2017
,5.50,Kolkata,1,0,v India,10.0,KW Richardson (AUS),55,3,2017
,5.80,Bengaluru,2,0,v India,10.0,KW Richardson (AUS),58,3,2017
,5.80,Adelaide,1,0,v Australia,10.0,Mohammed Shami (INDIA),58,3,2019
,6.00,Mohali,2,0,v Sri Lanka,10.0,YS Chahal (INDIA),60,3,2017
,6.70,Visakhapatnam,2,0,v West Indies,10.0,Kuldeep Yadav (INDIA),67,3,2018
,6.80,Lord's,1,0,v England,10.0,Kuldeep Yadav (INDIA),68,3,2018
,9.20,Nottingham,1,1,v England,10.0,JA Richardson (AUS),92,3,2018
,1.80,Port of Spain,2,1,v West Indies,5.0,B Kumar (INDIA),9,2,2017
,1.83,Thiruvananthapuram,1,1,v West Indies,6.0,JJ Bumrah (INDIA),11,2,2018
,3.66,Birmingham,1,0,v Bangladesh,6.0,KM Jadhav (INDIA),22,2,2017
,3.47,Dambulla,1,0,v Sri Lanka,6.2,JJ Bumrah (INDIA),22,2,2017
,3.06,The Oval,1,0,v South Africa,7.3,B Kumar (INDIA),23,2,2017
,3.20,Dubai (DSC),1,2,v Pakistan,7.1,JJ Bumrah (INDIA),23,2,2018
,3.42,Perth,1,0,v England,7.0,MR Marsh (AUS),24,2,2018
,3.00,Centurion,1,1,v South Africa,8.0,JJ Bumrah (INDIA),24,2,2018
,5.00,Hamilton,2,1,v New Zealand,5.0,B Kumar (INDIA),25,2,2019
,5.20,Dambulla,1,0,v Sri Lanka,5.0,KM Jadhav (INDIA),26,2,2017
,3.50,The Oval,1,0,v South Africa,8.0,JJ Bumrah (INDIA),28,2,2017
,7.00,Chennai,2,0,v Australia,4.0,HH Pandya (INDIA),28,2,2017
,3.50,Melbourne,1,1,v Australia,8.0,B Kumar (INDIA),28,2,2019
,2.90,Dubai (DSC),1,1,v Pakistan,10.0,JJ Bumrah (INDIA),29,2,2018
,4.14,Thiruvananthapuram,1,1,v West Indies,7.0,KK Ahmed (INDIA),29,2,2018
,3.33,Port Elizabeth,2,0,v South Africa,9.0,HH Pandya (INDIA),30,2,2018
,3.10,North Sound,1,1,v West Indies,10.0,Kuldeep Yadav (INDIA),31,2,2017
,3.57,Colombo (RPS),2,1,v Sri Lanka,8.4,Kuldeep Yadav (INDIA),31,2,2017
,5.33,North Sound,2,0,v West Indies,6.0,HH Pandya (INDIA),32,2,2017
,4.57,Colombo (RPS),2,0,v Sri Lanka,7.0,JJ Bumrah (INDIA),32,2,2017
,4.57,Cape Town,2,0,v South Africa,7.0,JJ Bumrah (INDIA),32,2,2018
,8.25,Chennai,2,0,v Australia,4.0,Kuldeep Yadav (INDIA),33,2,2017
,3.40,Kolkata,2,1,v Australia,10.0,YS Chahal (INDIA),34,2,2017
,4.37,Wellington,2,0,v New Zealand,8.0,Mohammed Shami (INDIA),35,2,2019
,4.50,Pune,1,1,v New Zealand,8.0,YS Chahal (INDIA),36,2,2017
,4.35,Manchester,2,0,v England,8.3,MP Stoinis (AUS),37,2,2018
,3.80,Pune,1,2,v New Zealand,10.0,JJ Bumrah (INDIA),38,2,2017
,3.80,Centurion,1,0,v South Africa,10.0,YS Chahal (INDIA),38,2,2018
,3.80,Dubai (DSC),1,0,v Afghanistan,10.0,Kuldeep Yadav (INDIA),38,2,2018
,3.90,Birmingham,1,1,v Bangladesh,10.0,JJ Bumrah (INDIA),39,2,2017
,3.90,Sydney,2,2,v India,10.0,JP Behrendorff (AUS),39,2,2019
