,Econ,Ground,Inns,Mdns,Opposition,Overs,Player,Runs,Wkts,Year
,3.90,The Oval,1,0,v South Africa,10.0,RA Jadeja (INDIA),39,1,2017
,7.80,Dharamsala,2,0,v Sri Lanka,5.0,HH Pandya (INDIA),39,1,2017
,3.90,Mohali,2,0,v Sri Lanka,10.0,HH Pandya (INDIA),39,1,2017
,4.87,Visakhapatnam,1,1,v Sri Lanka,8.0,JJ Bumrah (INDIA),39,1,2017
,3.90,Centurion,1,0,v South Africa,10.0,HH Pandya (INDIA),39,1,2018
,4.58,Dubai (DSC),1,0,v Bangladesh,8.3,JJ Bumrah (INDIA),39,1,2018
,3.90,Mumbai (BS),2,1,v West Indies,10.0,RA Jadeja (INDIA),39,1,2018
,4.00,Colombo (RPS),1,0,v Sri Lanka,10.0,Kuldeep Yadav (INDIA),40,1,2017
,5.00,Nagpur,1,0,v Australia,8.0,B Kumar (INDIA),40,1,2017
,4.44,Mohali,2,0,v Sri Lanka,9.0,B Kumar (INDIA),40,1,2017
,5.25,Pallekele,1,0,v Sri Lanka,8.0,HH Pandya (INDIA),42,1,2017
,4.66,Nagpur,2,0,v India,9.0,NM Coulter-Nile (AUS),42,1,2017
,4.84,Dharamsala,2,1,v Sri Lanka,8.4,B Kumar (INDIA),42,1,2017
,4.77,The Oval,1,0,v South Africa,9.0,R Ashwin (INDIA),43,1,2017
,5.37,Sydney,1,0,v England,8.0,MP Stoinis (AUS),43,1,2018
,4.30,Lord's,1,0,v England,10.0,YS Chahal (INDIA),43,1,2018
,7.16,Mount Maunganui,2,0,v New Zealand,6.0,Mohammed Shami (INDIA),43,1,2019
,4.40,The Oval,1,2,v Pakistan,10.0,B Kumar (INDIA),44,1,2017
,5.09,Indore,2,0,v India,8.5,KW Richardson (AUS),45,1,2017
,4.50,Dubai (DSC),1,1,v Afghanistan,10.0,KK Ahmed (INDIA),45,1,2018
,4.60,Mumbai,2,0,v New Zealand,10.0,HH Pandya (INDIA),46,1,2017
,4.60,Perth,1,0,v England,10.0,A Zampa (AUS),46,1,2018
,5.11,Adelaide,2,0,v India,9.0,MP Stoinis (AUS),46,1,2019
,5.22,Port of Spain,2,0,v West Indies,9.0,R Ashwin (INDIA),47,1,2017
,4.80,Birmingham,1,0,v Bangladesh,10.0,RA Jadeja (INDIA),48,1,2017
,4.80,Nagpur,1,0,v Australia,10.0,KM Jadhav (INDIA),48,1,2017
,4.80,Sydney,1,0,v Australia,10.0,RA Jadeja (INDIA),48,1,2019
,6.00,Sydney,2,0,v India,8.0,PM Siddle (AUS),48,1,2019
,5.44,The Oval,2,1,v England,9.0,KW Richardson (AUS),49,1,2018
,4.90,Adelaide,1,1,v Australia,10.0,RA Jadeja (INDIA),49,1,2019
,5.10,Centurion,1,0,v South Africa,10.0,Kuldeep Yadav (INDIA),51,1,2018
,5.10,Nottingham,1,0,v England,10.0,YS Chahal (INDIA),51,1,2018
,5.10,Leeds,2,0,v England,10.0,SN Thakur (INDIA),51,1,2018
,5.20,Birmingham,2,0,v England,10.0,MA Starc (AUS),52,1,2017
,5.20,The Oval,1,0,v South Africa,10.0,HH Pandya (INDIA),52,1,2017
,6.24,Adelaide,2,1,v India,8.2,JP Behrendorff (AUS),52,1,2019
,5.30,The Oval,1,0,v Pakistan,10.0,HH Pandya (INDIA),53,1,2017
,5.30,Hobart,1,1,v South Africa,10.0,JR Hazlewood (AUS),53,1,2018
,5.40,The Oval,2,0,v Sri Lanka,10.0,B Kumar (INDIA),54,1,2017
,6.00,Kolkata,1,0,v India,9.0,AC Agar (AUS),54,1,2017
,5.40,Indore,1,0,v Australia,10.0,YS Chahal (INDIA),54,1,2017
,5.40,Pune,1,1,v New Zealand,10.0,AR Patel (INDIA),54,1,2017
,6.75,Chester-le-Street,2,0,v England,8.0,B Stanlake (AUS),54,1,2018
,5.50,Colombo (RPS),2,0,v Sri Lanka,10.0,AR Patel (INDIA),55,1,2017
,6.11,Sydney,1,0,v England,9.0,A Zampa (AUS),55,1,2018
,5.60,Mumbai,2,0,v New Zealand,10.0,B Kumar (INDIA),56,1,2017
,6.22,Mumbai,2,0,v New Zealand,9.0,JJ Bumrah (INDIA),56,1,2017
,5.60,Durban,1,0,v South Africa,10.0,JJ Bumrah (INDIA),56,1,2018
,5.60,Pune,1,1,v West Indies,10.0,YS Chahal (INDIA),56,1,2018
,6.22,Melbourne,2,1,v India,9.0,PM Siddle (AUS),56,1,2019
