,Econ,Ground,Inns,Mdns,Opposition,Overs,Player,Runs,Wkts,Year
,4.80,Mohali,1,0,v Australia,10.0,Harbhajan Singh (INDIA),48,2,2009
,6.00,Delhi,1,0,v England,8.2,UT Yadav (INDIA),50,2,2011
,5.88,Mohali,2,0,v Australia,8.3,R Vinay Kumar (INDIA),50,2,2013
,5.10,Nagpur,1,2,v Australia,10.0,JJ Bumrah (INDIA),51,2,2017
,5.37,Mohali,1,0,v New Zealand,9.4,JJ Bumrah (INDIA),52,2,2016
,5.60,Ranchi,1,1,v Sri Lanka,10.0,R Ashwin (INDIA),56,2,2014
,5.70,Mohali,2,1,v Pakistan,10.0,Yuvraj Singh (INDIA),57,2,2011
,5.89,Mohali,2,0,v Pakistan,9.5,Z Khan (INDIA),58,2,2011
,7.37,Nagpur,2,0,v India,8.0,A Zampa (AUS),59,2,2017
,6.30,Mohali,1,0,v England,10.0,R Ashwin (INDIA),63,2,2013
,6.40,Nagpur,1,0,v Australia,10.0,R Ashwin (INDIA),64,2,2013
,6.50,Nagpur,2,0,v South Africa,10.0,MM Patel (INDIA),65,2,2011
,7.55,Hyderabad (Deccan),1,0,v Australia,9.0,P Kumar (INDIA),68,2,2009
,6.80,Nagpur,1,0,v Australia,10.0,RA Jadeja (INDIA),68,2,2013
,7.20,Nagpur,2,0,v India,10.0,MG Johnson (AUS),72,2,2013
,1.00,Ranchi,1,0,v England,1.0,SK Raina (INDIA),1,1,2013
,8.00,Mohali,1,0,v India,1.0,GJ Maxwell (AUS),8,1,2013
,3.00,Nagpur,1,1,v New Zealand,3.0,SR Watson (AUS),9,1,2011
,5.50,Delhi,1,0,v New Zealand,2.0,KM Jadhav (INDIA),11,1,2016
,7.00,Nagpur,1,0,v Australia,2.0,HH Pandya (INDIA),14,1,2017
,5.33,Hyderabad (Deccan),1,0,v Sri Lanka,3.0,AT Rayudu (INDIA),16,1,2014
,1.90,Delhi,2,2,v Pakistan,10.0,RA Jadeja (INDIA),19,1,2013
,6.66,Mohali,1,0,v England,3.0,V Kohli (INDIA),20,1,2011
,5.00,Nagpur,2,0,v India,4.0,AJ Finch (AUS),20,1,2013
,4.40,Delhi,1,1,v Netherlands,5.0,A Nehra (INDIA),22,1,2011
,5.75,Delhi,1,0,v Australia,4.0,SK Raina (INDIA),23,1,2009
,2.55,Delhi,2,4,v Pakistan,9.0,Mohammed Shami (INDIA),23,1,2013
,2.87,Ranchi,1,0,v England,8.0,Mohammed Shami (INDIA),23,1,2013
,3.50,Ranchi,1,1,v Sri Lanka,8.0,STR Binny (INDIA),28,1,2014
,3.62,Nagpur,1,2,v New Zealand,8.0,B Lee (AUS),29,1,2011
,3.75,Delhi,1,0,v Australia,8.0,Yuvraj Singh (INDIA),30,1,2009
,3.10,Mohali,2,0,v Australia,10.0,RA Jadeja (INDIA),31,1,2013
,6.20,Ranchi,1,0,v New Zealand,5.0,HH Pandya (INDIA),31,1,2016
,3.70,Delhi,1,0,v Australia,10.0,Harbhajan Singh (INDIA),37,1,2009
,4.75,Hyderabad (Deccan),2,1,v England,8.0,P Kumar (INDIA),38,1,2011
,5.42,Delhi,1,0,v England,7.0,RA Jadeja (INDIA),38,1,2011
,3.80,Ranchi,1,0,v New Zealand,10.0,AR Patel (INDIA),38,1,2016
,3.90,Mohali,2,0,v Sri Lanka,10.0,HH Pandya (INDIA),39,1,2017
,5.71,Nagpur,2,0,v Australia,7.0,A Nehra (INDIA),40,1,2009
,4.44,Delhi,1,1,v England,9.0,P Kumar (INDIA),40,1,2011
,4.00,Ranchi,1,2,v England,10.0,B Kumar (INDIA),40,1,2013
,5.00,Nagpur,1,0,v Australia,8.0,B Kumar (INDIA),40,1,2017
,4.44,Mohali,2,0,v Sri Lanka,9.0,B Kumar (INDIA),40,1,2017
,5.12,Mohali,1,0,v England,8.0,RA Jadeja (INDIA),41,1,2011
,5.25,Nagpur,1,0,v Australia,8.0,B Kumar (INDIA),42,1,2013
,4.66,Delhi,2,0,v West Indies,9.0,UT Yadav (INDIA),42,1,2014
,4.66,Delhi,1,0,v New Zealand,9.0,UT Yadav (INDIA),42,1,2016
,4.66,Nagpur,2,0,v India,9.0,NM Coulter-Nile (AUS),42,1,2017
,4.60,Delhi,2,2,v India,9.2,MG Johnson (AUS),43,1,2009
,4.30,Nagpur,2,0,v South Africa,10.0,Z Khan (INDIA),43,1,2011
