,4s,6s,BF,Ground,Inns,Mins,Opposition,Player,Runs,SR,Year
,3,0,25,Sydney,2,-,v England,CL White (AUS),17,68.00,2018
,2,0,13,Visakhapatnam,1,18,v West Indies,RR Pant (INDIA),17,130.76,2018
,1,0,19,Cape Town,1,37,v South Africa,B Kumar (INDIA),16*,84.21,2018
,3,0,7,Mumbai (BS),1,-,v West Indies,KM Jadhav (INDIA),16*,228.57,2018
,1,0,20,Colombo (RPS),2,-,v Sri Lanka,RG Sharma (INDIA),16,80.00,2017
,1,0,25,Nagpur,1,31,v India,SPD Smith (AUS),16,64.00,2017
,1,1,16,Mumbai,1,18,v New Zealand,HH Pandya (INDIA),16,100.00,2017
,2,0,17,Mumbai (BS),1,-,v West Indies,V Kohli (INDIA),16,94.11,2018
,1,0,23,Melbourne,1,-,v India,JA Richardson (AUS),16,69.56,2019
,4,0,20,Hamilton,1,37,v New Zealand,HH Pandya (INDIA),16,80.00,2019
,1,1,9,Bengaluru,1,17,v India,MP Stoinis (AUS),15*,166.66,2017
,0,0,21,Brisbane,1,-,v England,CL White (AUS),15*,71.42,2018
,1,0,21,Pune,2,-,v West Indies,Kuldeep Yadav (INDIA),15*,71.42,2018
,0,0,26,The Oval,2,41,v Pakistan,RA Jadeja (INDIA),15,57.69,2017
,2,0,11,Perth,2,-,v England,DA Warner (AUS),15,136.36,2018
,2,1,17,Centurion,2,19,v South Africa,RG Sharma (INDIA),15,88.23,2018
,3,0,13,Centurion,2,14,v South Africa,RG Sharma (INDIA),15,115.38,2018
,1,0,11,Cardiff,2,16,v England,TD Paine (AUS),15,136.36,2018
,1,1,12,Nottingham,2,-,v England,DJM Short (AUS),15,125.00,2018
,2,0,26,Lord's,2,-,v England,RG Sharma (INDIA),15,57.69,2018
,3,0,14,Dubai (DSC),2,-,v Bangladesh,S Dhawan (INDIA),15,107.14,2018
,2,0,32,Perth,1,-,v South Africa,CA Lynn (AUS),15,46.87,2018
,1,0,19,Adelaide,1,-,v South Africa,GJ Maxwell (AUS),15,78.94,2018
,1,0,33,Hamilton,1,47,v New Zealand,Kuldeep Yadav (INDIA),15,45.45,2019
,1,0,10,Port of Spain,1,-,v West Indies,Yuvraj Singh (INDIA),14,140.00,2017
,0,2,18,Kolkata,2,21,v India,GJ Maxwell (AUS),14,77.77,2017
,3,0,20,Kanpur,1,29,v New Zealand,S Dhawan (INDIA),14,70.00,2017
,3,0,11,Adelaide,2,-,v England,MP Stoinis (AUS),14,127.27,2018
,0,1,15,Cape Town,1,21,v South Africa,HH Pandya (INDIA),14,93.33,2018
,0,0,25,Nottingham,2,-,v England,JA Richardson (AUS),14,56.00,2018
,0,1,16,Manchester,1,-,v England,KW Richardson (AUS),14,87.50,2018
,2,0,14,Perth,1,-,v South Africa,MP Stoinis (AUS),14,100.00,2018
,1,0,24,Melbourne,1,-,v India,AJ Finch (AUS),14,58.33,2019
,1,0,13,Port of Spain,1,-,v West Indies,MS Dhoni (INDIA),13*,100.00,2017
,2,0,6,Port of Spain,1,-,v West Indies,KM Jadhav (INDIA),13*,216.66,2017
,2,0,23,Napier,2,23,v New Zealand,AT Rayudu (INDIA),13*,56.52,2019
,1,1,10,Bengaluru,2,12,v Australia,MS Dhoni (INDIA),13,130.00,2017
,0,0,17,Nagpur,1,19,v India,PSP Handscomb (AUS),13,76.47,2017
,2,0,11,Adelaide,2,-,v England,DA Warner (AUS),13,118.18,2018
,2,0,11,Perth,2,-,v England,MR Marsh (AUS),13,118.18,2018
,1,0,17,Port Elizabeth,1,28,v South Africa,MS Dhoni (INDIA),13,76.47,2018
,1,0,28,Dubai (DSC),2,-,v Bangladesh,AT Rayudu (INDIA),13,46.42,2018
,0,0,14,Visakhapatnam,1,27,v West Indies,RA Jadeja (INDIA),13,92.85,2018
,1,1,20,Hamilton,1,23,v New Zealand,S Dhawan (INDIA),13,65.00,2019
,1,0,18,Dubai (DSC),2,-,v Pakistan,AT Rayudu (INDIA),12*,66.66,2018
,1,1,5,Adelaide,1,11,v India,NM Lyon (AUS),12*,240.00,2019
,1,1,20,The Oval,2,23,v South Africa,RG Sharma (INDIA),12,60.00,2017
,0,0,17,Nagpur,1,27,v India,JP Faulkner (AUS),12,70.58,2017
,1,0,25,Mumbai,1,41,v New Zealand,KM Jadhav (INDIA),12,48.00,2017
,1,0,10,Melbourne,1,14,v England,PJ Cummins (AUS),12,120.00,2018
